domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
BankAccount	account_minimum_inflow	MonetaryAmount	account-minimum-inflow	account_minimum_inflow	accountMinimumInflow	pending:							A minimum amount that has to be paid in every month.
BankAccount	account_overdraft_limit	MonetaryAmount	account-overdraft-limit	account_overdraft_limit	accountOverdraftLimit	pending:							An overdraft is an extension of credit from a lending institution when an account reaches zero. An overdraft allows the individual to continue withdrawing money even if the account has no funds in it. Basically the bank allows people to borrow a set amount of money.
MerchantReturnPolicy	customer_remorse_return_shipping_fees_amount	MonetaryAmount	customer-remorse-return-shipping-fees-amount	customer_remorse_return_shipping_fees_amount	customerRemorseReturnShippingFeesAmount	pending:							The amount of shipping costs if a product is returned due to customer remorse. Applicable when property <a class="localLink" href="/customerRemorseReturnFees">customerRemorseReturnFees</a> equals <a class="localLink" href="/ReturnShippingFees">ReturnShippingFees</a>.
RepaymentSpecification	early_prepayment_penalty	MonetaryAmount	early-prepayment-penalty	early_prepayment_penalty	earlyPrepaymentPenalty	pending:							The amount to be paid as a penalty in the event of early payment of the loan.
PaymentCard	floor_limit	MonetaryAmount	floor-limit	floor_limit	floorLimit	pending:							A floor limit is the amount of money above which credit card transactions must be authorized.
MerchantReturnPolicy	item_defect_return_shipping_fees_amount	MonetaryAmount	item-defect-return-shipping-fees-amount	item_defect_return_shipping_fees_amount	itemDefectReturnShippingFeesAmount	pending:							Amount of shipping costs for defect product returns. Applicable when property <a class="localLink" href="/itemDefectReturnFees">itemDefectReturnFees</a> equals <a class="localLink" href="/ReturnShippingFees">ReturnShippingFees</a>.
MortgageLoan	loan_mortgage_mandate_amount	MonetaryAmount	loan-mortgage-mandate-amount	loan_mortgage_mandate_amount	loanMortgageMandateAmount	pending:							Amount of mortgage mandate that can be converted into a proper mortgage at a later stage.
RepaymentSpecification	loan_payment_amount	MonetaryAmount	loan-payment-amount	loan_payment_amount	loanPaymentAmount	pending:							The amount of money to pay in a single payment.
MerchantReturnPolicy	return_shipping_fees_amount	MonetaryAmount	return-shipping-fees-amount	return_shipping_fees_amount	returnShippingFeesAmount	pending:							Amount of shipping costs for product returns (for any reason). Applicable when property <a class="localLink" href="/returnFees">returnFees</a> equals <a class="localLink" href="/ReturnShippingFees">ReturnShippingFees</a>.
OfferShippingDetails, ShippingRateSettings	shipping_rate	MonetaryAmount	shipping-rate	shipping_rate	shippingRate	pending:							The shipping rate is the cost of shipping to the specified destination. Typically, the maxValue and currency values (of the <a class="localLink" href="/MonetaryAmount">MonetaryAmount</a>) are most appropriate.
JobPosting, Occupation	estimated_salary	MonetaryAmount, MonetaryAmountDistribution, Number	estimated-salary	estimated_salary	estimatedSalary								An estimated salary for a job posting or occupation, based on a variety of variables including, but not limited to industry, job title, and location. Estimated salaries  are often computed by outside organizations rather than the hiring organization, who may not have committed to the estimated value.
DatedMoneySpecification, InvestmentOrDeposit, LoanOrCredit, MonetaryGrant, MoneyTransfer	amount	MonetaryAmount, Number	amount	amount	amount								The amount of money.
RepaymentSpecification	down_payment	MonetaryAmount, Number	down-payment	down_payment	downPayment	pending:							a type of payment made in cash during the onset of the purchase of an expensive good/service. The payment typically represents only a percentage of the full purchase price.
ExchangeRateSpecification	exchange_rate_spread	MonetaryAmount, Number	exchange-rate-spread	exchange_rate_spread	exchangeRateSpread	pending:							The difference between the price at which a broker or other intermediary buys and sells foreign currency.
PaymentCard	monthly_minimum_repayment_amount	MonetaryAmount, Number	monthly-minimum-repayment-amount	monthly_minimum_repayment_amount	monthlyMinimumRepaymentAmount	pending:							The minimum payment is the lowest amount of money that one is required to pay on a credit card statement each month.
MerchantReturnPolicy	restocking_fee	MonetaryAmount, Number	restocking-fee	restocking_fee	restockingFee	pending:							Use <a class="localLink" href="/MonetaryAmount">MonetaryAmount</a> to specify a fixed restocking fee for product returns, or use <a class="localLink" href="/Number">Number</a> to specify a percentage of the product price paid by the customer.
EmployeeRole, JobPosting	base_salary	MonetaryAmount, Number, PriceSpecification	base-salary	base_salary	baseSalary								The base salary of the job or of an employee in an EmployeeRole.
Invoice	minimum_payment_due	MonetaryAmount, PriceSpecification	minimum-payment-due	minimum_payment_due	minimumPaymentDue								The minimum payment required at this time.
Person	net_worth	MonetaryAmount, PriceSpecification	net-worth	net_worth	netWorth								The total financial value of the person as calculated by subtracting assets from liabilities.
Invoice	total_payment_due	MonetaryAmount, PriceSpecification	total-payment-due	total_payment_due	totalPaymentDue								The total amount due.
HowTo, HowToSupply	estimated_cost	MonetaryAmount, Text	estimated-cost	estimated_cost	estimatedCost								The estimated cost of the supply or supplies consumed when performing instructions.
EducationalOccupationalProgram	salary_upon_completion	MonetaryAmountDistribution	salary-upon-completion	salary_upon_completion	salaryUponCompletion	pending:							The expected salary upon completing the training.
EducationalOccupationalProgram, WorkBasedProgram	training_salary	MonetaryAmountDistribution	training-salary	training_salary	trainingSalary	pending:							The estimated salary earned while in the program.
TypeAndQuantityNode	amount_of_this_good	Number	amount-of-this-good	amount_of_this_good	amountOfThisGood								The quantity of the goods included in the offer.
UnitPriceSpecification	billing_increment	Number	billing-increment	billing_increment	billingIncrement								This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.
UnitPriceSpecification	billing_start	Number	billing-start	billing_start	billingStart	pending:							Specifies after how much time this price (or price component) becomes valid and billing starts. Can be used, for example, to model a price increase after the first year of a subscription. The unit of measurement is specified by the unitCode property.
ParentAudience	child_max_age	Number	child-max-age	child_max_age	childMaxAge								Maximal age of the child.
ParentAudience	child_min_age	Number	child-min-age	child_min_age	childMinAge								Minimal age of the child.
CreativeWork	copyright_year	Number	copyright-year	copyright_year	copyrightYear								The year during which the claimed copyright for the CreativeWork was first asserted.
Vehicle	emissions_co2_in_Gram_per_km	Number	emissions-co2	emissions_co2	emissionsCO2	https://auto.schema.org							The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put "g/km" into the unitText property of that value, since there is no UN/CEFACT Common Code for "g/km".
HealthPlanCostSharingSpecification	health_plan_coinsurance_rate	Number	health-plan-coinsurance-rate	health_plan_coinsurance_rate	healthPlanCoinsuranceRate	pending:							The rate of coinsurance expressed as a number between 0.0 and 1.0.
RepaymentSpecification	loan_payment_frequency	Number	loan-payment-frequency	loan_payment_frequency	loanPaymentFrequency	pending:							Frequency of payments due, i.e. number of months between payments. This is defined as a frequency, i.e. the reciprocal of a period of time.
PriceSpecification	max_price	Number	max-price	max_price	maxPrice								The highest price if the price is a range.
MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	max_value	Number	max-value	max_value	maxValue								The upper value of some characteristic or property.
QuantitativeValueDistribution	median	Number	median	median	median								The median value.
PriceSpecification	min_price	Number	min-price	min_price	minPrice								The lowest price if the price is a range.
MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	min_value	Number	min-value	min_value	minValue								The lower value of some characteristic or property.
OccupationalExperienceRequirements	months_of_experience	Number	months-of-experience	months_of_experience	monthsOfExperience	pending:							Indicates the minimal number of months of experience required for a position.
OrderItem	order_quantity	Number	order-quantity	order_quantity	orderQuantity								The number of the item ordered. If the property is not set, assume the quantity is one.
QuantitativeValueDistribution	percentile10	Number	percentile10	percentile10	percentile10								The 10th percentile value.
QuantitativeValueDistribution	percentile25	Number	percentile25	percentile25	percentile25								The 25th percentile value.
QuantitativeValueDistribution	percentile75	Number	percentile75	percentile75	percentile75								The 75th percentile value.
QuantitativeValueDistribution	percentile90	Number	percentile90	percentile90	percentile90								The 90th percentile value.
PropertyValueSpecification	step_value	Number	step-value	step_value	stepValue								The stepValue attribute indicates the granularity that is expected (and required) of the value in a PropertyValueSpecification.
DrugStrength	strength_value	Number	strength-value	strength_value	strengthValue								The value of an active ingredient's strength, e.g. 325.
PeopleAudience	suggested_max_age	Number	suggested-max-age	suggested_max_age	suggestedMaxAge								Maximum recommended age in years for the audience or user.
PeopleAudience	suggested_min_age	Number	suggested-min-age	suggested_min_age	suggestedMinAge								Minimum recommended age in years for the audience or user.
EducationalOccupationalProgram	terms_per_year	Number	terms-per-year	terms_per_year	termsPerYear	pending:							The number of times terms of study are offered per year. Semesters and quarters are common units for term. For example, if the student can only take 2 semesters for the program in one year, then termsPerYear should be 2.
PropertyValueSpecification	value_max_length	Number	value-max-length	value_max_length	valueMaxLength								Specifies the allowed range for number of characters in a literal value.
PropertyValueSpecification	value_min_length	Number	value-min-length	value_min_length	valueMinLength								Specifies the minimum allowed range for number of characters in a literal value.
Accommodation	year_built	Number	year-built	year_built	yearBuilt	pending:							The year an <a class="localLink" href="/Accommodation">Accommodation</a> was constructed. This corresponds to the <a href="https://ddwiki.reso.org/display/DDW17/YearBuilt+Field">YearBuilt field in RESO</a>.
Reservation, Ticket	total_price	Number, PriceSpecification, Text	total-price	total_price	totalPrice								"The total price for the reservation or ticket, including applicable taxes, shipping, etc.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
DoseSchedule	dose_value	Number, QualitativeValue	dose-value	dose_value	doseValue								The value of the dose, e.g. 500.
DrugCost	cost_per_unit	Number, QualitativeValue, Text	cost-per-unit	cost_per_unit	costPerUnit								The cost per unit of the drug.
FinancialProduct	annual_percentage_rate	Number, QuantitativeValue	annual-percentage-rate	annual_percentage_rate	annualPercentageRate								The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.
BroadcastFrequencySpecification	broadcast_frequency_value	Number, QuantitativeValue	broadcast-frequency-value	broadcast_frequency_value	broadcastFrequencyValue								The frequency in MHz for a particular broadcast.
FinancialProduct	interest_rate	Number, QuantitativeValue	interest-rate	interest_rate	interestRate								The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.
ProgramMembership	membership_points_earned	Number, QuantitativeValue	membership-points-earned	membership_points_earned	membershipPointsEarned	pending:							The number of membership points earned by the member. If necessary, the unitText can be used to express the units the points are issued in. (E.g. stars, miles, etc.)
HowToItem	required_quantity	Number, QuantitativeValue, Text	required-quantity	required_quantity	requiredQuantity								The required quantity of the item(s).
Rating	best_rating	Number, Text	best-rating	best_rating	bestRating								The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.
Order	discount	Number, Text	discount	discount	discount								Any discount applied (to an Order).
GeoCoordinates, GeoShape	elevation	Number, Text	elevation	elevation_in_meters	elevation								The elevation of a location (<a href="https://en.wikipedia.org/wiki/World_Geodetic_System">WGS 84</a>). Values may be of the form 'NUMBER UNIT_OF_MEASUREMENT' (e.g., '1,000 m', '3,200 ft') while numbers alone should be assumed to be a value in meters.
AggregateOffer	high_price	Number, Text	high-price	high_price	highPrice								"The highest price of all offers available.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
GeoCoordinates, Place	latitude	Number, Text	latitude	latitude	latitude								The latitude of a location. For example <code>37.42242</code> (<a href="https://en.wikipedia.org/wiki/World_Geodetic_System">WGS 84</a>).
GeoCoordinates, Place	longitude	Number, Text	longitude	longitude	longitude								The longitude of a location. For example <code>-122.08585</code> (<a href="https://en.wikipedia.org/wiki/World_Geodetic_System">WGS 84</a>).
AggregateOffer	low_price	Number, Text	low-price	low_price	lowPrice								"The lowest price of all offers available.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
Offer, PriceSpecification, TradeAction	price	Number, Text	price	price	price								"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use the <a class=""localLink"" href=""/priceCurrency"">priceCurrency</a> property (with standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR"") instead of including <a href=""http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign"">ambiguous symbols</a> such as '$' in the value.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
<li>Note that both <a href=""http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute"">RDFa</a> and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.</li>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
</ul>"
Rating	rating_value	Number, Text	rating-value	rating_value	ratingValue								"The rating for the content.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
CreativeWork	version	Number, Text	version	version	version								The version of the CreativeWork embodied by a specified resource.
Rating	worst_rating	Number, Text	worst-rating	worst_rating	worstRating								The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.
Vehicle	acceleration_time	QuantitativeValue	acceleration-time	acceleration_time	accelerationTime	https://auto.schema.org							"The time needed to accelerate the vehicle from a given start velocity to a given target velocity.<br/><br/>
Typical unit code(s): SEC for seconds<br/><br/>
<ul>
<li>Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a>, or use <a class=""localLink"" href=""/valueReference"">valueReference</a> with a <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> of 0..60 mph or 0..100 km/h to specify the reference speeds.</li>
</ul>"
Demand, Offer	advance_booking_requirement	QuantitativeValue	advance-booking-requirement	advance_booking_requirement	advanceBookingRequirement								The amount of time that is required between accepting the offer and the actual usage of the resource or service.
Vehicle	cargo_volume	QuantitativeValue	cargo-volume	cargo_volume	cargoVolume								"The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.<br/><br/>

Typical unit code(s): LTR for liters, FTQ for cubic foot/feet<br/><br/>

Note: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
Demand, Offer	delivery_lead_time	QuantitativeValue	delivery-lead-time	delivery_lead_time	deliveryLeadTime								The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.
WarrantyPromise	duration_of_warranty	QuantitativeValue	duration-of-warranty	duration_of_warranty	durationOfWarranty								The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.
Demand, Offer	eligible_duration	QuantitativeValue	eligible-duration	eligible_duration	eligibleDuration								The duration for which the given offer is valid.
Demand, Offer, PriceSpecification	eligible_quantity	QuantitativeValue	eligible-quantity	eligible_quantity	eligibleQuantity								The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.
EngineSpecification	engine_displacement	QuantitativeValue	engine-displacement	engine_displacement	engineDisplacement	https://auto.schema.org							"The volume swept by all of the pistons inside the cylinders of an internal combustion engine in a single movement. <br/><br/>

Typical unit code(s): CMQ for cubic centimeter, LTR for liters, INQ for cubic inches
* Note 1: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.
* Note 2: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
EngineSpecification	engine_power_watt	QuantitativeValue	engine-power	engine_power	enginePower	https://auto.schema.org							"The power of the vehicle's engine.
    Typical unit code(s): KWT for kilowatt, BHP for brake horsepower, N12 for metric horsepower (PS, with 1 PS = 735,49875 W)<br/><br/>

<ul>
<li>Note 1: There are many different ways of measuring an engine's power. For an overview, see  <a href=""http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes"">http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes</a>.</li>
<li>Note 2: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.</li>
<li>Note 3: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
Accommodation, FloorPlan	floor_size_m2	QuantitativeValue	floor-size	floor_size	floorSize								"The size of the accommodation, e.g. in square meter or squarefoot.
Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard"
Vehicle	fuel_capacity_liter	QuantitativeValue	fuel-capacity	fuel_capacity	fuelCapacity	https://auto.schema.org							"The capacity of the fuel tank or in the case of electric cars, the battery. If there are multiple components for storage, this should indicate the total of all storage of the same type.<br/><br/>

Typical unit code(s): LTR for liters, GLL of US gallons, GLI for UK / imperial gallons, AMH for ampere-hours (for electrical vehicles)."
Vehicle	fuel_consumption_l_km	QuantitativeValue	fuel-consumption	fuel_consumption	fuelConsumption								"The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).<br/><br/>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use <a class=""localLink"" href=""/unitText"">unitText</a> to indicate the unit of measurement, e.g. L/100 km.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""/valueReference"">valueReference</a> to link the value for the fuel consumption to another value.</li>
</ul>"
Vehicle	fuel_efficiency	QuantitativeValue	fuel-efficiency	fuel_efficiency	fuelEfficiency								"The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).<br/><br/>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use <a class=""localLink"" href=""/unitText"">unitText</a> to indicate the unit of measurement, e.g. mpg or km/L.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""/valueReference"">valueReference</a> to link the value for the fuel economy to another value.</li>
</ul>"
ShippingDeliveryTime	handling_days	QuantitativeValue	handling-time	handling_time	handlingTime	pending:							The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup. Typical properties: minValue, maxValue, unitCode (d for DAY).  This is by common convention assumed to mean business days (if a unitCode is used, coded as "d"), i.e. only counting days when the business normally operates.
Offer, Product, SizeSpecification	measurement	QuantitativeValue	has-measurement	measurement	hasMeasurement	pending:							A product measurement, for example the inseam of pants, the wheel size of a bicycle, or the gauge of a screw. Usually an exact measurement, but can also be a range of measurements for adjustable products, for example belts and ski bindings.
Demand, Offer, SomeProducts	inventory_level	QuantitativeValue	inventory-level	inventory_level	inventoryLevel								The current approximate inventory level for the item or items.
LoanOrCredit	loan_term	QuantitativeValue	loan-term	loan_term	loanTerm		duration						The duration of the loan or credit agreement.
Observation	margin_of_error	QuantitativeValue	margin-of-error	margin_of_error	marginOfError	pending:							A marginOfError for an <a class="localLink" href="/Observation">Observation</a>.
Vehicle	mileage_from_odometer	QuantitativeValue	mileage-from-odometer	mileage_from_odometer	mileageFromOdometer								"The total distance travelled by the particular vehicle since its initial production, as read from its odometer.<br/><br/>

Typical unit code(s): KMT for kilometers, SMI for statute miles"
Apartment, HotelRoom, SingleFamilyResidence, Suite	occupancy	QuantitativeValue	occupancy	occupancy	occupancy								"The allowed total occupancy for the accommodation in persons (including infants etc). For individual accommodations, this is not necessarily the legal maximum but defines the permitted usage as per the contractual agreement (e.g. a double room used by a single person).
Typical unit code(s): C62 for person"
Vehicle	payload_kg	QuantitativeValue	payload	payload	payload	https://auto.schema.org							"The permitted weight of passengers and cargo, EXCLUDING the weight of the empty vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: Many databases specify the permitted TOTAL weight instead, which is the sum of <a class=""localLink"" href=""/weight"">weight</a> and <a class=""localLink"" href=""/payload"">payload</a></li>
<li>Note 2: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 3: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.</li>
<li>Note 4: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
UnitPriceSpecification	reference_quantity	QuantitativeValue	reference-quantity	reference_quantity	referenceQuantity								The reference quantity for which a certain price applies, e.g. 1 EUR per 4 kWh of electricity. This property is a replacement for unitOfMeasurement for the advanced cases where the price does not relate to a standard unit.
BusOrCoach, Car	roof_load_in_kg	QuantitativeValue	roof-load	roof_load	roofLoad	https://auto.schema.org							"The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a></li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
Vehicle	speed_km_h	QuantitativeValue	speed	speed	speed	https://auto.schema.org							"The speed range of the vehicle. If the vehicle is powered by an engine, the upper limit of the speed range (indicated by <a class=""localLink"" href=""/maxValue"">maxValue</a>) should be the maximum speed achievable under regular conditions.<br/><br/>

Typical unit code(s): KMH for km/h, HM for mile per hour (0.447 04 m/s), KNT for knot<br/><br/>

*Note 1: Use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate the range. Typically, the minimal value is zero.
* Note 2: There are many different ways of measuring the speed range. You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property."
PeopleAudience, SizeSpecification	suggested_age	QuantitativeValue	suggested-age	suggested_age	suggestedAge	pending:							The age or age range for the intended audience or person, for example 3-12 months for infants, 1-5 years for toddlers.
PeopleAudience, SizeSpecification	suggested_measurement	QuantitativeValue	suggested-measurement	suggested_measurement	suggestedMeasurement	pending:							A suggested range of body measurements for the intended audience or person, for example inseam between 32 and 34 inches or height between 170 and 190 cm. Typically found on a size chart for wearable products.
Vehicle	tongue_weight_kg	QuantitativeValue	tongue-weight	tongue_weight	tongueWeight	https://auto.schema.org							"The permitted vertical load (TWR) of a trailer attached to the vehicle. Also referred to as Tongue Load Rating (TLR) or Vertical Load Rating (VLR).<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.</li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
