domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
APIReference	assembly_version	Text	assembly-version	assemblyVersion								Associated product/technology version. E.g., .NET Framework 4.5.
AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	associated_pathophysiology	Text	associated-pathophysiology	associatedPathophysiology								If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.
Audience	audience_type	Text	audience-type	audienceType								The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).
SoftwareApplication	available_on_device	Text	available-on-device	availableOnDevice						device		Device required to run the application. Used in cases where a specific make/model is required to run the application.
CreativeWork, Organization, Person, Product, Service	award	Text	award	award						awards		An award won by or for this item.
CreativeWork, Organization, Person, Product	awards	Text	awards	awards							award	Awards won by or for this item.
JobPosting	benefits	Text	benefits	benefits							jobBenefits	Description of benefits associated with the job.
Joint	biomechnical_class	Text	biomechnical-class	biomechnicalClass								The biomechanical properties of the bone.
MediaObject	bitrate	Text	bitrate	bitrate								The bitrate of the media object.
FlightReservation	boarding_group	Text	boarding-group	boardingGroup								The airline-specific indicator of boarding order / preference.
AnatomicalStructure, MedicalProcedure	body_location	Text	body-location	bodyLocation								Location in the body of the anatomical structure.
Book	book_edition	Text	book-edition	bookEdition								The edition of the book.
GeoShape	box	Text	box	box								A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.
Place	branch_code	Text	branch-code	branchCode								"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.<br/><br/>

For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch."
Drug	breastfeeding_warning	Text	breastfeeding-warning	breastfeedingWarning								Any precaution, guidance, contraindication, etc. related to this drug's use by breastfeeding mothers.
BroadcastChannel	broadcast_channel_id	Text	broadcast-channel-id	broadcastChannelId								The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.
BroadcastService	broadcast_display_name	Text	broadcast-display-name	broadcastDisplayName								The name displayed in the channel guide. For many US affiliates, it is the network name.
BroadcastChannel	broadcast_service_tier	Text	broadcast-service-tier	broadcastServiceTier								The type of service required to have access to the channel (e.g. Standard or Premium).
BroadcastFrequencySpecification	broadcast_sub_channel	Text	broadcast-sub-channel	broadcastSubChannel	pending:							The subchannel used for the broadcast.
BroadcastService	broadcast_timezone	Text	broadcast-timezone	broadcastTimezone								The timezone in <a href="http://en.wikipedia.org/wiki/ISO_8601">ISO 8601 format</a> for which the service bases its broadcasts.
WebApplication	browser_requirements	Text	browser-requirements	browserRequirements								Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.
BusTrip	bus_name	Text	bus-name	busName								The name of the bus (e.g. Bolt Express).
BusTrip	bus_number	Text	bus-number	busNumber								The unique identifier for the bus.
BroadcastService, Person, Vehicle	call_sign	Text	call-sign	callSign	pending:	identifier						A <a href="https://en.wikipedia.org/wiki/Call_sign">callsign</a>, as used in broadcasting and radio communications to identify people, radio and TV stations, or vehicles.
MobileApplication	carrier_requirements	Text	carrier-requirements	carrierRequirements								Specifies specific carrier(s) requirements for the application (e.g. an application may only work on a specific carrier network).
MusicRelease	catalog_number	Text	catalog-number	catalogNumber								The catalog number for the release.
PerformanceRole	character_name	Text	character-name	characterName								The name of a character played in some acting or performing role, i.e. in a PerformanceRole.
Offer	checkout_page_url_template	Text	checkout-page-url-template	checkoutPageURLTemplate	pending:							A URL template (RFC 6570) for a checkout page for an offer. This approach allows merchants to specify a URL for online checkout of the offered product, by interpolating parameters such as the logged in user ID, product ID, quantity, discount code etc. Parameter naming and standardization are not specified here.
ChemicalSubstance	chemical_composition	Text	chemical-composition	chemicalComposition	pending:							The chemical composition describes the identity and relative ratio of the chemical elements that make up the substance.
GeoShape	circle	Text	circle	circle								A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.
ClaimReview	claim_reviewed	Text	claim-reviewed	claimReviewed								A short summary of the specific claims reviewed in a ClaimReview.
Drug	clincal_pharmacology	Text	clincal-pharmacology	clincalPharmacology							clinicalPharmacology	Description of the absorption and elimination of drugs, including their concentration (pharmacokinetics, pK) and biological effects (pharmacodynamics, pD).
Drug	clinical_pharmacology	Text	clinical-pharmacology	clinicalPharmacology						clincalPharmacology		Description of the absorption and elimination of drugs, including their concentration (pharmacokinetics, pK) and biological effects (pharmacodynamics, pD).
SoftwareSourceCode	code_sample_type	Text	code-sample-type	codeSampleType						sampleType		What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
CategoryCode, MedicalCode	code_value	Text	code-value	codeValue	pending:	termCode						A short textual code that uniquely identifies the value.
MedicalCode	coding_system	Text	coding-system	codingSystem								The coding system, e.g. 'ICD-10'.
Product	color	Text	color	color								The color of the product.
UserComments	comment_text	Text	comment-text	commentText								The text of the UserComment.
CreativeWork	conditions_of_access	Text	conditions-of-access	conditionsOfAccess	pending:							"Conditions that affect the availability of, or method(s) of access to, an item. Typically used for real world items such as an <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a> held by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>. This property is not suitable for use as a general Web access control mechanism. It is expressed only in natural language.<br/><br/>

For example ""Available by appointment from the Reading Room"" or ""Accessible only from logged-in accounts ""."
Invoice, Order	confirmation_number	Text	confirmation-number	confirmationNumber		identifier						A number that confirms the given order or payment has been received.
ContactPoint	contact_type	Text	contact-type	contactType								A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.
MediaObject	content_size	Text	content-size	contentSize								File size in (mega/kilo)bytes.
EntryPoint	content_type	Text	content-type	contentType								The supported content type(s) for an EntryPoint response.
Recipe	cooking_method	Text	cooking-method	cookingMethod								The method of cooking, such as Frying, Steaming, ...
CreativeWork	copyright_notice	Text	copyright-notice	copyrightNotice	pending:							Text of a notice appropriate for describing the copyright aspects of this Creative Work, ideally indicating the owner of the copyright for the Work.
DrugCost	cost_currency	Text	cost-currency	costCurrency								The currency (in 3-letter) of the drug cost. See: http://en.wikipedia.org/wiki/ISO_4217.
DrugCost	cost_origin	Text	cost-origin	costOrigin								Additional details to capture the origin of the cost data. For example, 'Medicare Part B'.
SoftwareApplication	countries_not_supported	Text	countries-not-supported	countriesNotSupported								Countries for which the application is not supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.
SoftwareApplication	countries_supported	Text	countries-supported	countriesSupported								Countries for which the application is supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.
Product	country_of_assembly	Text	country-of-assembly	countryOfAssembly	pending:							The place where the product was assembled.
Product	country_of_last_processing	Text	country-of-last-processing	countryOfLastProcessing	pending:							The place where the item (typically <a class="localLink" href="/Product">Product</a>) was last processed and tested before importation.
Course	course_code	Text	course-code	courseCode								The identifier for the <a class="localLink" href="/Course">Course</a> used by the course <a class="localLink" href="/provider">provider</a> (e.g. CS101 or 6.001).
CourseInstance	course_workload	Text	course-workload	courseWorkload	pending:							The amount of work expected of students taking the course, often provided as a figure per week or per month, and may be broken down by type. For example, "2 hours of lectures, 1 hour of lab work and 3 hours of independent study per week".
CreativeWork	credit_text	Text	credit-text	creditText	pending:							Text that can be used to credit person(s) and/or organization(s) associated with a published Creative Work.
LocalBusiness	currencies_accepted	Text	currencies-accepted	currenciesAccepted								"The currency accepted.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR""."
DatedMoneySpecification, ExchangeRateSpecification, LoanOrCredit, MonetaryAmount, MonetaryAmountDistribution	currency	Text	currency	currency								"The currency in which the monetary amount is expressed.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR""."
CDCPMDRecord	cvd_facility_county	Text	cvd-facility-county	cvdFacilityCounty	pending:							Name of the County of the NHSN facility that this data record applies to. Use <a class="localLink" href="/cvdFacilityId">cvdFacilityId</a> to identify the facility. To provide other details, <a class="localLink" href="/healthcareReportingData">healthcareReportingData</a> can be used on a <a class="localLink" href="/Hospital">Hospital</a> entry.
CDCPMDRecord	cvd_facility_id	Text	cvd-facility-id	cvdFacilityId	pending:							Identifier of the NHSN facility that this data record applies to. Use <a class="localLink" href="/cvdFacilityCounty">cvdFacilityCounty</a> to indicate the county. To provide other details, <a class="localLink" href="/healthcareReportingData">healthcareReportingData</a> can be used on a <a class="localLink" href="/Hospital">Hospital</a> entry.
NewsArticle	dateline	Text	dateline	dateline								"A <a href=""https://en.wikipedia.org/wiki/Dateline"">dateline</a> is a brief piece of text included in news articles that describes where and when the story was written or filed though the date is often omitted. Sometimes only a placename is provided.<br/><br/>

Structured representations of dateline-related information can also be expressed more explicitly using <a class=""localLink"" href=""/locationCreated"">locationCreated</a> (which represents where a work was created, e.g. where a news report was written).  For location depicted or described in the content, use <a class=""localLink"" href=""/contentLocation"">contentLocation</a>.<br/><br/>

Dateline summaries are oriented more towards human readers than towards automated processing, and can vary substantially. Some examples: ""BEIRUT, Lebanon, June 2."", ""Paris, France"", ""December 19, 2017 11:43AM Reporting from Washington"", ""Beijing/Moscow"", ""QUEZON CITY, Philippines""."
Flight	departure_gate	Text	departure-gate	departureGate								Identifier of the flight's departure gate.
TrainTrip	departure_platform	Text	departure-platform	departurePlatform								The platform from which the train departs.
Flight	departure_terminal	Text	departure-terminal	departureTerminal								Identifier of the flight's departure terminal.
TechArticle	dependencies	Text	dependencies	dependencies								Prerequisites needed to fulfill steps in article.
Thing	description	Text	description	description			dc:description	disambiguatingDescription, interpretedAsClaim, originalMediaContextDescription, sha256				A description of the item.
SoftwareApplication	device	Text	device	device							availableOnDevice	Device required to run the application. Used in cases where a specific make/model is required to run the application.
Diet	diet_features	Text	diet-features	dietFeatures								Nutritional information specific to the dietary plan. May include dietary recommendations on what foods to avoid, what foods to consume, and specific alterations/deviations from the USDA or other regulatory body's approved dietary guidelines.
Thing	disambiguating_description	Text	disambiguating-description	disambiguatingDescription		description						A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.
Order	discount_code	Text	discount-code	discountCode								Code used to redeem a discount.
Order	discount_currency	Text	discount-currency	discountCurrency								"The currency of the discount.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR""."
Drug	dosage_form	Text	dosage-form	dosageForm								A dosage form in which this drug/supplement is available, e.g. 'tablet', 'suspension', 'injection'.
DoseSchedule	dose_unit	Text	dose-unit	doseUnit								The unit of the dose, e.g. 'mg'.
Drug, DrugCost	drug_unit	Text	drug-unit	drugUnit								The unit in which the drug is measured, e.g. '5 mg tablet'.
Organization, Person	duns	Text	duns	duns		identifier						The Dun &amp; Bradstreet DUNS number for identifying an organization or business person.
Question, SolveMathAction	edu_question_type	Text	edu-question-type	eduQuestionType	pending:							For questions that are part of learning resources (e.g. Quiz), eduQuestionType indicates the format of question being given. Example: "Multiple choice", "Open ended", "Flashcard".
AlignmentObject	educational_framework	Text	educational-framework	educationalFramework								The framework to which the resource being described is aligned.
EducationalAudience	educational_role	Text	educational-role	educationalRole								An educationalRole of an EducationalAudience.
JobPosting	eligibility_to_work_requirement	Text	eligibility-to-work-requirement	eligibilityToWorkRequirement	pending:							The legal requirements such as citizenship, visa and other documentation required for an applicant to this job.
ContactPoint, Organization, Person	email	Text	email	email								Email address.
AudioObject, ImageObject, VideoObject	embedded_text_caption	Text	embedded-text-caption	embeddedTextCaption	pending:	caption						Represents textual captioning from a <a class="localLink" href="/MediaObject">MediaObject</a>, e.g. text of a 'meme'.
JobPosting	employer_overview	Text	employer-overview	employerOverview	pending:							A description of the employer, career opportunities and work environment for this position.
JobPosting	employment_type	Text	employment-type	employmentType								Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).
EntryPoint	encoding_type	Text	encoding-type	encodingType								The supported encoding type(s) for an EntryPoint request.
MedicalCondition, PhysicalActivity	epidemiology	Text	epidemiology	epidemiology								The characteristics of associated patients, such as age, gender, race etc.
MedicalGuideline	evidence_origin	Text	evidence-origin	evidenceOrigin								Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.
APIReference	executable_library_name	Text	executable-library-name	executableLibraryName						assembly		Library file name, e.g., mscorlib.dll, system.web.dll.
ExerciseAction, ExercisePlan	exercise_type	Text	exercise-type	exerciseType								Type(s) of exercise or activity, such as strength training, flexibility training, aerobics, cardiac rehabilitation, etc.
MedicalCondition	expected_prognosis	Text	expected-prognosis	expectedPrognosis								The likely outcome in either the short term or long term of the medical condition.
Diet	expert_considerations	Text	expert-considerations	expertConsiderations								Medical expert advice related to the plan.
Person	family_name	Text	family-name	familyName								Family name. In the U.S., the last name of a Person.
ContactPoint, Organization, Person, Place	fax_number	Text	fax-number	faxNumber								The fax number.
SoftwareApplication	file_size	Text	file-size	fileSize								Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.
Flight	flight_number	Text	flight-number	flightNumber		identifier						The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.
Accommodation	floor_level	Text	floor-level	floorLevel	pending:							"The floor level for an <a class=""localLink"" href=""/Accommodation"">Accommodation</a> in a multi-storey building. Since counting
  systems <a href=""https://en.wikipedia.org/wiki/Storey#Consecutive_number_floor_designations"">vary internationally</a>, the local system should be used where possible."
MedicalProcedure	followup	Text	followup	followup								Typical or recommended followup care after the procedure is performed.
Drug	food_warning	Text	food-warning	foodWarning								Any precaution, guidance, contraindication, etc. related to consumption of specific foods while taking this drug.
DoseSchedule	frequency	Text	frequency	frequency				repeatFrequency				How often the dose is taken, e.g. 'daily'.
VideoGame	game_edition	Text	game-edition	gameEdition								The edition of a video game.
Person	given_name	Text	given-name	givenName								Given name. In the U.S., the first name of a Person.
Organization, Person, Place	global_location_number	Text	global-location-number	globalLocationNumber		identifier						The <a href="http://www.gs1.org/gln">Global Location Number</a> (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
Demand, Offer, Product	gtin12	Text	gtin12	gtin12		gtin, identifier						The GTIN-12 code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See <a href="http://www.gs1.org/barcodes/technical/idkeys/gtin">GS1 GTIN Summary</a> for more details.
Demand, Offer, Product	gtin13	Text	gtin13	gtin13		gtin, identifier						The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceding zero. See <a href="http://www.gs1.org/barcodes/technical/idkeys/gtin">GS1 GTIN Summary</a> for more details.
Demand, Offer, Product	gtin14	Text	gtin14	gtin14		gtin, identifier						The GTIN-14 code of the product, or the product to which the offer refers. See <a href="http://www.gs1.org/barcodes/technical/idkeys/gtin">GS1 GTIN Summary</a> for more details.
Demand, Offer, Product	gtin8	Text	gtin8	gtin8		gtin, identifier						The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See <a href="http://www.gs1.org/barcodes/technical/idkeys/gtin">GS1 GTIN Summary</a> for more details.
Gene, Protein	has_bio_polymer_sequence	Text	has-bio-polymer-sequence	hasBioPolymerSequence	pending:	hasRepresentation						A symbolic representation of a BioChemEntity. For example, a nucleotide sequence of a Gene or an amino acid sequence of a Protein.
CreativeWork	headline	Text	headline	headline								Headline of the article.
HealthPlanCostSharingSpecification	health_plan_coinsurance_option	Text	health-plan-coinsurance-option	healthPlanCoinsuranceOption	pending:							Whether the coinsurance applies before or after deductible, etc. TODO: Is this a closed set?
HealthPlanCostSharingSpecification	health_plan_copay_option	Text	health-plan-copay-option	healthPlanCopayOption	pending:							Whether the copay is before or after deductible, etc. TODO: Is this a closed set?
HealthInsurancePlan	health_plan_drug_option	Text	health-plan-drug-option	healthPlanDrugOption	pending:							TODO.
HealthInsurancePlan, HealthPlanFormulary	health_plan_drug_tier	Text	health-plan-drug-tier	healthPlanDrugTier	pending:							The tier(s) of drugs offered by this formulary or insurance plan.
HealthInsurancePlan	health_plan_id	Text	health-plan-id	healthPlanId	pending:							The 14-character, HIOS-generated Plan ID number. (Plan IDs must be unique, even across different markets.)
HealthPlanNetwork, MedicalOrganization	health_plan_network_id	Text	health-plan-network-id	healthPlanNetworkId	pending:							Name or unique ID of network. (Networks are often reused across different insurance plans.)
HealthPlanNetwork	health_plan_network_tier	Text	health-plan-network-tier	healthPlanNetworkTier	pending:							The tier(s) for this network.
HealthPlanCostSharingSpecification	health_plan_pharmacy_category	Text	health-plan-pharmacy-category	healthPlanPharmacyCategory	pending:							The category or type of pharmacy associated with this cost sharing.
Person	honorific_prefix	Text	honorific-prefix	honorificPrefix								An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.
Person	honorific_suffix	Text	honorific-suffix	honorificSuffix								An honorific suffix following a Person's name such as M.D./PhD/MSCSW.
MedicalProcedure	how_performed	Text	how-performed	howPerformed								How the procedure is performed.
EntryPoint	http_method	Text	http-method	httpMethod								An HTTP method that specifies the appropriate HTTP method for a request to an HTTP EntryPoint. Values are capitalized strings as used in HTTP.
Airline, Airport	iata_code	Text	iata-code	iataCode								IATA identifier for an airline or airport.
Airport	icao_code	Text	icao-code	icaoCode								ICAO identifier for an airport.
MolecularEntity	in_ch_i	Text	in-ch-i	inChI	pending:	hasRepresentation						Non-proprietary identifier for molecular entity that can be used in printed and electronic data sources thus enabling easier linking of diverse data compilations.
MolecularEntity	in_ch_i_key	Text	in-ch-i-key	inChIKey	pending:	hasRepresentation						InChIKey is a hashed version of the full InChI (using the SHA-256 algorithm).
Product	in_product_group_with_id	Text	in-product-group-with-id	inProductGroupWithID	pending:							Indicates the <a class="localLink" href="/productGroupID">productGroupID</a> for a <a class="localLink" href="/ProductGroup">ProductGroup</a> that this product <a class="localLink" href="/isVariantOf">isVariantOf</a>.
Thesis	in_support_of	Text	in-support-of	inSupportOf	https://bib.schema.org							Qualification, candidature, degree, application that Thesis supports.
JobPosting	incentive_compensation	Text	incentive-compensation	incentiveCompensation						incentives		Description of bonus and commission compensation aspects of the job.
JobPosting	incentives	Text	incentives	incentives							incentiveCompensation	Description of bonus and commission compensation aspects of the job.
InfectiousDisease	infectious_agent	Text	infectious-agent	infectiousAgent								The actual infectious agent, such as a specific bacterium.
Recipe	ingredients	Text	ingredients	ingredients		supply					recipeIngredient	A single ingredient used in the recipe, e.g. sugar, flour or garlic.
CreativeWork	interactivity_type	Text	interactivity-type	interactivityType								The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.
Book	isbn	Text	isbn	isbn		identifier	http://purl.org/ontology/bibo/isbn					The ISBN of the book.
Organization, Person, Place	isic_v4	Text	isic-v4	isicV4								The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
Organization	iso6523code	Text	iso6523code	iso6523Code	pending:							An organization identifier as defined in ISO 6523(-1). Note that many existing organization identifiers such as <a href="leiCode">leiCode</a>, <a href="duns">duns</a> and <a href="vatID">vatID</a> can be expressed as an ISO 6523 identifier by setting the ICD part of the ISO 6523 identifier accordingly.
MusicRecording	isrc_code	Text	isrc-code	isrcCode								The International Standard Recording Code for the recording.
Blog, CreativeWorkSeries, Dataset, WebSite	issn	Text	issn	issn		identifier	http://purl.org/ontology/bibo/issn					The International Standard Serial Number (ISSN) that identifies this serial publication. You can repeat this property to identify different formats of, or the linking ISSN (ISSN-L) for, this serial publication.
MusicComposition	iswc_code	Text	iswc-code	iswcCode								The International Standard Musical Work Code for the composition.
MolecularEntity	iupac_name	Text	iupac-name	iupacName	pending:							Systematic method of naming chemical compounds as recommended by the International Union of Pure and Applied Chemistry (IUPAC).
JobPosting	job_benefits	Text	job-benefits	jobBenefits						benefits		Description of benefits associated with the job.
JobPosting	job_location_type	Text	job-location-type	jobLocationType	pending:							A description of the job location (e.g. TELECOMMUTE for telecommute jobs).
Vehicle	known_vehicle_damages	Text	known-vehicle-damages	knownVehicleDamages								A textual description of known damages, both repaired and unrepaired.
Organization	legal_name	Text	legal-name	legalName								The official name of the organization, e.g. the registered company name.
Organization	lei_code	Text	lei-code	leiCode		identifier						An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.
GeoShape	line	Text	line	line								A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.
LinkRole	link_relationship	Text	link-relationship	linkRelationship	pending:							Indicates the relationship type of a Web link.
LodgingReservation	lodging_unit_description	Text	lodging-unit-description	lodgingUnitDescription								A full description of the lodging unit.
Flight	meal_service	Text	meal-service	mealService								Description of the meals that will be provided or available for purchase.
DietarySupplement, Drug	mechanism_of_action	Text	mechanism-of-action	mechanismOfAction								The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.
ProgramMembership	membership_number	Text	membership-number	membershipNumber								A unique identifier for the membership.
