Year	Date	Event	Significance
1250		[Louis IX](https://en.wikipedia.org/wiki/Louis_IX "Louis IX") is captured at the last major battle of the [Seventh Crusade](https://en.wikipedia.org/wiki/Seventh_Crusade "Seventh Crusade").	
1257		Opening of the [College of Sorbonne](https://en.wikipedia.org/wiki/College_of_Sorbonne "College of Sorbonne").	
1257		[Provisions of Oxford](https://en.wikipedia.org/wiki/Provisions_of_Oxford "Provisions of Oxford") forced upon [Henry III of England](https://en.wikipedia.org/wiki/Henry_III_of_England "Henry III of England").	This establishes a new form of government-limited regal authority.
1258	29 January– 10 February	[Siege of Baghdad](https://en.wikipedia.org/wiki/Siege_of_Baghdad_(1258) "Siege of Baghdad (1258)")	Mongols (the [Ilkhanate](https://en.wikipedia.org/wiki/Ilkhanate "Ilkhanate")) ensure control of the region; Generally considered the end of the [Islamic Golden Age](https://en.wikipedia.org/wiki/Islamic_Golden_Age "Islamic Golden Age").
1258		The first Mongol invasion of Vietnam	The Mongol army was defeated by emperor Tran Thai Tong of [Đại Việt](https://en.wikipedia.org/wiki/%C4%90%E1%BA%A1i_Vi%E1%BB%87t "Đại Việt").
1272–73		The [Ninth Crusade](https://en.wikipedia.org/wiki/Ninth_Crusade "Ninth Crusade") occurs.	Considered to be the Last Major Crusade to take place in the [Holy Land](https://en.wikipedia.org/wiki/Holy_Land "Holy Land").
1273	29 September	[Rudolph I of Germany](https://en.wikipedia.org/wiki/Rudolph_I_of_Germany "Rudolph I of Germany") is elected Holy Roman Emperor.	This begins the [Habsburg](https://en.wikipedia.org/wiki/Habsburg "Habsburg") _de facto_ domination of the crown that lasted until is dissolution in 1806.
1274		[Thomas Aquinas](https://en.wikipedia.org/wiki/Thomas_Aquinas "Thomas Aquinas")' work, _[Summa Theologica](https://en.wikipedia.org/wiki/Summa_Theologica "Summa Theologica")_ is published, after his death.	Is the main staple of theology during the [Middle Ages](https://en.wikipedia.org/wiki/Middle_Ages "Middle Ages").
1279	19 March	[Battle of Yamen](https://en.wikipedia.org/wiki/Battle_of_Yamen "Battle of Yamen").	Marks the end of the [Song Dynasty](https://en.wikipedia.org/wiki/Song_Dynasty "Song Dynasty") in China, and all of China is under the rule of [Kublai Khan](https://en.wikipedia.org/wiki/Kublai_Khan "Kublai Khan") as the emperor.
1282		[Sicilian Vespers](https://en.wikipedia.org/wiki/Sicilian_Vespers "Sicilian Vespers"). Sicilians massacre [Angevins](https://en.wikipedia.org/wiki/County_of_Anjou "County of Anjou") over a six-week period, after a Frenchman, harassed a woman.	Would mark a two-decade period of war, and peace treaties mainly between [Aragon](https://en.wikipedia.org/wiki/Crown_of_Aragon "Crown of Aragon"), Sicily, and the [Angevins](https://en.wikipedia.org/wiki/Capetian_House_of_Anjou "Capetian House of Anjou").
1283		First regulated [Catalan Courts](https://en.wikipedia.org/wiki/Catalan_Courts "Catalan Courts").	Presided by king [Peter III of Aragon](https://en.wikipedia.org/wiki/Peter_III_of_Aragon "Peter III of Aragon") for the whole [Principality of Catalonia](https://en.wikipedia.org/wiki/Principality_of_Catalonia "Principality of Catalonia"), it became in one of the first parliamentary bodies that banned the royal power to create legislation unilaterally.
1285		The second Mongol invasion of Vietnam.	The Mongol army was defeated by emperor Tran Nhan Tong and general Tran Hung Dao.
1287		The third Mongol invasion of Vietnam.	Decisive Vietnam victory. To avoid further conflict, [Đại Việt](https://en.wikipedia.org/wiki/%C4%90%E1%BA%A1i_Vi%E1%BB%87t "Đại Việt") agreed to a tributary relationship with the [Yuan dynasty](https://en.wikipedia.org/wiki/Yuan_dynasty "Yuan dynasty").
1293		[Mongol invasion of Java](https://en.wikipedia.org/wiki/Mongol_invasion_of_Java "Mongol invasion of Java").	Failed invasion of the Javanese [Majapahit Kingdom](https://en.wikipedia.org/wiki/Majapahit_Kingdom "Majapahit Kingdom"). Which led Majapahit to rise as a significant regional power.
1296		[Edward I of England](https://en.wikipedia.org/wiki/Edward_I_of_England "Edward I of England") invades [Scotland](https://en.wikipedia.org/wiki/Scotland "Scotland"), starting the [First War of Scottish Independence](https://en.wikipedia.org/wiki/First_War_of_Scottish_Independence "First War of Scottish Independence").	
1297	11 September	The [Battle of Stirling Bridge](https://en.wikipedia.org/wiki/Battle_of_Stirling_Bridge "Battle of Stirling Bridge").	[William Wallace](https://en.wikipedia.org/wiki/William_Wallace "William Wallace") emerges as the leader of the Scottish resistance to England.
1298		[Marco Polo](https://en.wikipedia.org/wiki/Marco_Polo "Marco Polo") publishes his tales of China, along with [Rustichello da Pisa](https://en.wikipedia.org/wiki/Rustichello_da_Pisa "Rustichello da Pisa").	A key step to the bridging of Asia and Europe in trade.
1299	27 July	The [Ottoman Empire](https://en.wikipedia.org/wiki/Ottoman_Empire "Ottoman Empire") is founded by [Osman I](https://en.wikipedia.org/wiki/Osman_I "Osman I").	Becomes longest lasting Islamic Empire, lasting over 600 years into the 20th century.
