label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
actionableFeedbackPolicy	pending:	publishingPrinciples			NewsMediaOrganization, Organization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement about public engagement activities (for news media, the newsroom’s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication."
activeIngredient					DietarySupplement, Drug, DrugStrength, Substance	Text				An active ingredient, typically chemical compounds and/or biologic substances.
activityDuration					ExercisePlan	Duration, QuantitativeValue				Length of time to engage in the activity.
activityFrequency					ExercisePlan	QuantitativeValue, Text				How often one should engage in the activity.
actor				readBy	Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, PodcastSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person		actors		An actor, e.g. in TV, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.
actors					Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	Person			actor	An actor, e.g. in TV, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.
addOn					Offer	Offer				An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).
additionalName		alternateName			Person	Text				An additional name for a Person, can be used for a middle name.
additionalNumberOfGuests					RsvpAction	Number				If responding yes, the number of guests who will attend in addition to the invitee.
additionalProperty					MerchantReturnPolicy, Place, Product, QualitativeValue, QuantitativeValue	PropertyValue				"A property-value pair representing an additional characteristic of the entity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/><br/>

Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. width, color, gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism."
additionalType		http://www.w3.org/1999/02/22-rdf-syntax-ns#type			Thing	URL				An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.
additionalVariable					ExercisePlan	Text				Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.
address					GeoCoordinates, GeoShape, Organization, Person, Place	PostalAddress, Text				Physical address of the item.
addressCountry					DefinedRegion, GeoCoordinates, GeoShape, PostalAddress	Country, Text				"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>."
addressLocality					PostalAddress	Text				The locality in which the street address is, and which is in the region. For example, Mountain View.
addressRegion					DefinedRegion, PostalAddress	Text				"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level <a href=""https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"">Administrative division</a>."
administrationRoute					Drug	Text				A route by which this drug may be administered, e.g. 'oral'.
advanceBookingRequirement					Demand, Offer	QuantitativeValue				The amount of time that is required between accepting the offer and the actual usage of the resource or service.
adverseOutcome					MedicalDevice, TherapeuticProcedure	MedicalEntity				"A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or otherwise life-threatening or requiring immediate medical attention), tag it as a seriousAdverseOutcome instead."
affectedBy					MedicalTest	Drug				Drugs that affect the test's results.
affiliation		memberOf			Person	Organization				An organization that this person is affiliated with. For example, a school/university, a club, or a team.
afterMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances after performing this direction.
agent					Action	Organization, Person				The direct performer or driver of the action (animate or inanimate). E.g. <em>John</em> wrote a book.
aggregateRating					Brand, CreativeWork, Event, Offer, Organization, Place, Product, Service	AggregateRating				The overall rating, based on a collection of reviews or ratings, of the item.
aircraft					Flight	Text, Vehicle				"The kind of aircraft (e.g., ""Boeing 747"")."
album					MusicGroup	MusicAlbum		albums		A music album.
albumProductionType					MusicAlbum	MusicAlbumProductionType				Classification of the album by its type of content: soundtrack, live album, studio album, etc.
albumRelease					MusicAlbum	MusicRelease	releaseOf			A release of this album.
albumReleaseType					MusicAlbum	MusicAlbumReleaseType				The kind of release which this album is: single, EP or album.
albums					MusicGroup	MusicAlbum			album	A collection of music albums.
alcoholWarning					Drug	Text				Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.
algorithm					MedicalRiskScore	Text				The algorithm or rules to follow to compute the score.
alignmentType					AlignmentObject	Text				A category of alignment between the learning resource and the framework node. Recommended values include: 'requires', 'textComplexity', 'readingLevel', and 'educationalSubject'.
alternateName				additionalName	Thing	Text				An alias for the item.
alternativeHeadline					CreativeWork	Text				A secondary title of the CreativeWork.
alternativeOf	pending:				Gene	Gene				Another gene which is a variation of this one.
alumni					EducationalOrganization, Organization	Person	alumniOf			Alumni of an organization.
alumniOf					Person	EducationalOrganization, Organization	alumni			An organization that the person is an alumni of.
amenityFeature					Accommodation, FloorPlan, LodgingBusiness, Place	LocationFeatureSpecification				An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.
amount					DatedMoneySpecification, InvestmentOrDeposit, LoanOrCredit, MonetaryGrant, MoneyTransfer	MonetaryAmount, Number				The amount of money.
amountOfThisGood					TypeAndQuantityNode	Number				The quantity of the goods included in the offer.
announcementLocation	pending:	spatialCoverage			SpecialAnnouncement	CivicStructure, LocalBusiness				"Indicates a specific <a class=""localLink"" href=""/CivicStructure"">CivicStructure</a> or <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a> associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>."
annualPercentageRate					FinancialProduct	Number, QuantitativeValue				The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.
answerCount					Question	Integer				The number of answers this question has received.
answerExplanation	pending:				Answer	Comment, WebContent				A step-by-step or full explanation about Answer. Can outline how this Answer was achieved or contain more broad clarification or statement about it.
antagonist					Muscle	Muscle				The muscle whose action counteracts the specified muscle.
appearance	pending:	workExample			Claim	CreativeWork				"Indicates an occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
applicableCountry	pending:				MerchantReturnPolicy	Country, Text				A country where a particular merchant return policy applies to, for example the two-letter ISO 3166-1 alpha-2 country code.
applicableLocation					DrugCost, DrugLegalStatus	AdministrativeArea				The location in which the status applies.
applicantLocationRequirements	pending:				JobPosting	AdministrativeArea				The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.
application					EntryPoint	SoftwareApplication			actionApplication	An application that can complete the request.
applicationCategory					SoftwareApplication	Text, URL				Type of software application, e.g. 'Game, Multimedia'.
applicationContact	pending:				JobPosting	ContactPoint				Contact details for further information relevant to this job posting.
applicationDeadline	pending:				EducationalOccupationalProgram	Date				The date at which the program stops collecting applications for the next enrollment cycle.
applicationStartDate	pending:				EducationalOccupationalProgram	Date				The date at which the program begins collecting applications for the next enrollment cycle.
applicationSubCategory					SoftwareApplication	Text, URL				Subcategory of the application, e.g. 'Arcade Game'.
applicationSuite					SoftwareApplication	Text				The name of the application suite to which the application belongs (e.g. Excel belongs to Office).
appliesToDeliveryMethod					DeliveryChargeSpecification, PaymentChargeSpecification	DeliveryMethod				The delivery method(s) to which the delivery charge or payment charge specification applies.
appliesToPaymentMethod					PaymentChargeSpecification	PaymentMethod				The payment method(s) to which the payment charge specification applies.
archiveHeld	pending:				ArchiveOrganization	ArchiveComponent	holdingArchive			"Collection, <a href=""https://en.wikipedia.org/wiki/Fonds"">fonds</a>, or item held, kept or maintained by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>."
archivedAt	pending:				CreativeWork	URL, WebPage				"Indicates a page or other link involved in archival of a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>. In the case of <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, the items in a <a class=""localLink"" href=""/MediaReviewItem"">MediaReviewItem</a> may often become inaccessible, but be archived by archival, journalistic, activist, or law enforcement organizations. In such cases, the referenced page may not directly publish the content."
area					BroadcastService	Place			serviceArea	The area within which users can expect to reach the broadcast service.
areaServed				availableAtOrFrom, eligibleRegion	ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service	AdministrativeArea, GeoShape, Place, Text		serviceArea		The geographic area where a service or offered item is provided.
arrivalAirport					Flight	Airport				The airport where the flight terminates.
arrivalBoatTerminal	pending:				BoatTrip	BoatTerminal				The terminal or port from which the boat arrives.
arrivalBusStop					BusTrip	BusStation, BusStop				The stop or station from which the bus arrives.
arrivalGate					Flight	Text				Identifier of the flight's arrival gate.
arrivalPlatform					TrainTrip	Text				The platform where the train arrives.
arrivalStation					TrainTrip	TrainStation				The station where the train trip ends.
arrivalTerminal					Flight	Text				Identifier of the flight's arrival terminal.
arrivalTime					Trip	DateTime, Time				The expected arrival time.
artEdition					VisualArtwork	Integer, Text				"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."
artMedium		material			VisualArtwork	Text, URL				The material used. (E.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)
arterialBranch					Artery	AnatomicalStructure		branch		The branches that comprise the arterial structure.
artform					VisualArtwork	Text, URL				e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.
articleBody					Article	Text				The actual body of the article.
articleSection					Article	Text				Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.
artist	https://bib.schema.org				ComicIssue, ComicStory, VisualArtwork	Person				"The primary artist for a work
        in a medium other than pencils or digital line art--for example, if the
        primary artwork is done in watercolors or digital paints."
artworkSurface					VisualArtwork	Text, URL		surface		The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.
asin	pending:	identifier			Demand, Offer, Product	Text, URL				"An Amazon Standard Identification Number (ASIN) is a 10-character alphanumeric unique identifier assigned by Amazon.com and its partners for product identification within the Amazon organization (summary from <a href=""https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number"">Wikipedia</a>'s article).<br/><br/>

Note also that this is a definition for how to include ASINs in Schema.org data, and not a definition of ASINs in general - see documentation from Amazon for authoritative details.
ASINs are most commonly encoded as text strings, but the [asin] property supports URL/URI as potential values too."
aspect					MedicalWebPage	Text			mainContentOfPage	An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.
assembly					APIReference	Text			executableLibraryName	Library file name, e.g., mscorlib.dll, system.web.dll.
assemblyVersion					APIReference	Text				Associated product/technology version. E.g., .NET Framework 4.5.
assesses	pending:				CreativeWork, EducationEvent, LearningResource	DefinedTerm, Text				The item being described is intended to assess the competency or learning outcome defined by the referenced term.
associatedAnatomy					MedicalCondition, PhysicalActivity	AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy				The anatomy of the underlying organ system or structures associated with this entity.
associatedArticle					MediaObject	NewsArticle				A NewsArticle associated with the Media Object.
associatedClaimReview	pending:	associatedReview			Review	Review				"An associated <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class=""localLink"" href=""/relatedMediaReview"">relatedMediaReview</a> would commonly be used on a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, while <a class=""localLink"" href=""/relatedClaimReview"">relatedClaimReview</a> would be used on <a class=""localLink"" href=""/MediaReview"">MediaReview</a>."
associatedDisease	pending:				BioChemEntity	MedicalCondition, PropertyValue, URL				Disease associated to this BioChemEntity. Such disease can be a MedicalCondition or a URL. If you want to add an evidence supporting the association, please use PropertyValue.
associatedMedia					CreativeWork, HyperToc, HyperTocEntry	MediaObject				A media object that encodes this CreativeWork. This property is a synonym for encoding.
associatedMediaReview	pending:	associatedReview			Review	Review				"An associated <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class=""localLink"" href=""/relatedMediaReview"">relatedMediaReview</a> would commonly be used on a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, while <a class=""localLink"" href=""/relatedClaimReview"">relatedClaimReview</a> would be used on <a class=""localLink"" href=""/MediaReview"">MediaReview</a>."
associatedPathophysiology					AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	Text				If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.
associatedReview	pending:			associatedClaimReview, associatedMediaReview	Review	Review				"An associated <a class=""localLink"" href=""/Review"">Review</a>."
athlete					SportsTeam	Person				"A person that acts as performing member of a sports team; a player as opposed to a coach."
attendee					Event	Organization, Person		attendees		A person or organization attending the event.
attendees					Event	Organization, Person			attendee	A person attending the event.
audience					CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service	Audience		serviceAudience		An intended audience, i.e. a group for whom something was created.
audienceType					Audience	Text				The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).
audio					CreativeWork	AudioObject, Clip, MusicRecording				An embedded audio object.
authenticator					MediaSubscription	Organization				The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.
author					CreativeWork, Rating	Organization, Person				The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
availability					Demand, Offer	ItemAvailability				"The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc."
availabilityEnds					ActionAccessSpecification, Demand, Offer	Date, DateTime, Time				The end of the availability of the product or service included in the offer.
availabilityStarts					ActionAccessSpecification, Demand, Offer	Date, DateTime, Time				The beginning of the availability of the product or service included in the offer.
availableAtOrFrom		areaServed			Demand, Offer	Place				The place(s) from which the offer can be obtained (e.g. store locations).
availableChannel					Service	ServiceChannel				A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).
availableDeliveryMethod					Demand, Offer	DeliveryMethod				The delivery method(s) available for this offer.
availableFrom					DeliveryEvent	DateTime				When the item is available for pickup from the store, locker, etc.
availableIn					DrugStrength	AdministrativeArea				The location in which the strength is available.
availableLanguage					ContactPoint, LodgingBusiness, ServiceChannel, TouristAttraction	Language, Text				"A language someone may use with or at the item, service or place. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""/inLanguage"">inLanguage</a>."
availableOnDevice					SoftwareApplication	Text		device		Device required to run the application. Used in cases where a specific make/model is required to run the application.
availableService					Hospital, MedicalClinic, Physician	MedicalProcedure, MedicalTest, MedicalTherapy				A medical service available from this provider.
availableStrength					Drug	DrugStrength				An available dosage strength for the drug.
availableTest					DiagnosticLab	MedicalTest				A diagnostic test or procedure offered by this lab.
availableThrough					DeliveryEvent	DateTime				After this date, the item will no longer be available for pickup.
award					CreativeWork, Organization, Person, Product, Service	Text		awards		An award won by or for this item.
awards					CreativeWork, Organization, Person, Product	Text			award	Awards won by or for this item.
awayTeam		competitor			SportsEvent	Person, SportsTeam				The away team in a sports event.
backstory	pending:				Article	CreativeWork, Text				"For an <a class=""localLink"" href=""/Article"">Article</a>, typically a <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc."
bankAccountType	pending:				BankAccount	Text, URL				The type of a bank account.
baseSalary					EmployeeRole, JobPosting	MonetaryAmount, Number, PriceSpecification				The base salary of the job or of an employee in an EmployeeRole.
bccRecipient		recipient			Message	ContactPoint, Organization, Person				A sub property of recipient. The recipient blind copied on a message.
bed					HotelRoom, Suite	BedDetails, BedType, Text				"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
beforeMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances before performing this direction.
beneficiaryBank	pending:				MoneyTransfer	BankOrCreditUnion, Text				A bank or bank’s branch, financial institution or international financial institution operating the beneficiary’s bank account or releasing funds for the beneficiary.
benefits					JobPosting	Text			jobBenefits	Description of benefits associated with the job.
benefitsSummaryUrl	pending:				HealthInsurancePlan	URL				The URL that goes directly to the summary of benefits and coverage for the specific standard plan or plan variation.
bestRating					Rating	Number, Text				The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.
billingAddress					Order	PostalAddress				The billing address for the order.
billingDuration	pending:				UnitPriceSpecification	Duration, Number, QuantitativeValue				Specifies for how long this price (or price component) will be billed. Can be used, for example, to model the contractual duration of a subscription or payment plan. Type can be either a Duration or a Number (in which case the unit of measurement, for example month, is specified by the unitCode property).
billingIncrement					UnitPriceSpecification	Number				This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.
billingPeriod					Invoice	Duration				The time interval used to compute the invoice.
billingStart	pending:				UnitPriceSpecification	Number				Specifies after how much time this price (or price component) becomes valid and billing starts. Can be used, for example, to model a price increase after the first year of a subscription. The unit of measurement is specified by the unitCode property.
bioChemInteraction	pending:				BioChemEntity	BioChemEntity				A BioChemEntity that is known to interact with this item.
bioChemSimilarity	pending:				BioChemEntity	BioChemEntity				A similar BioChemEntity, e.g., obtained by fingerprint similarity algorithms.
biologicalRole	pending:				BioChemEntity	DefinedTerm				A role played by the BioChemEntity within a biological context.
biomechnicalClass					Joint	Text				The biomechanical properties of the bone.
birthDate					Person	Date				Date of birth.
birthPlace					Person	Place				The place where the person was born.
bitrate					MediaObject	Text				The bitrate of the media object.
blogPost					Blog	BlogPosting		blogPosts		A posting that is part of this blog.
blogPosts					Blog	BlogPosting			blogPost	"Indicates a post that is part of a <a class=""localLink"" href=""/Blog"">Blog</a>. Note that historically, what we term a ""Blog"" was once known as a ""weblog"", and that what we term a ""BlogPosting"" is now often colloquially referred to as a ""blog""."
bloodSupply					Muscle	Vessel				The blood vessel that carries blood from the heart to the muscle.
boardingGroup					FlightReservation	Text				The airline-specific indicator of boarding order / preference.
boardingPolicy					Airline, Flight	BoardingPolicyType				The type of boarding policy used by the airline (e.g. zone-based or group-based).
bodyLocation					AnatomicalStructure, MedicalProcedure	Text				Location in the body of the anatomical structure.
bodyType	https://auto.schema.org				Vehicle	QualitativeValue, Text, URL				Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).
bookEdition					Book	Text				The edition of the book.
bookFormat					Book	BookFormatType				The format of the book.
bookingAgent					Reservation	Organization, Person			broker	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
bookingTime					Reservation	DateTime				The date and time the reservation was booked.
borrower		participant			LendAction	Person				A sub property of participant. The person that borrows the object being lent.
box					GeoShape	Text				A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.
branch					Nerve	AnatomicalStructure			arterialBranch	"The branches that delineate from the nerve bundle. Not to be confused with <a class=""localLink"" href=""/branchOf"">branchOf</a>."
branchCode					Place	Text				"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.<br/><br/>

For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch."
branchOf					LocalBusiness	Organization			parentOrganization	"The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical) <a class=""localLink"" href=""/branch"">branch</a>."
brand					Organization, Person, Product, Service	Brand, Organization				The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
breadcrumb					WebPage	BreadcrumbList, Text				A set of links that can help a user understand and navigate a website hierarchy.
breastfeedingWarning					Drug	Text				Any precaution, guidance, contraindication, etc. related to this drug's use by breastfeeding mothers.
broadcastAffiliateOf					BroadcastService	Organization				The media network(s) whose content is broadcast on this station.
broadcastChannelId					BroadcastChannel	Text				The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.
broadcastDisplayName					BroadcastService	Text				The name displayed in the channel guide. For many US affiliates, it is the network name.
broadcastFrequency					BroadcastChannel, BroadcastService	BroadcastFrequencySpecification, Text				"The frequency used for over-the-air broadcasts. Numeric values or simple ranges, e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. ""87 FM""."
broadcastFrequencyValue					BroadcastFrequencySpecification	Number, QuantitativeValue				The frequency in MHz for a particular broadcast.
broadcastOfEvent					BroadcastEvent	Event				The event being broadcast such as a sporting event or awards ceremony.
broadcastServiceTier					BroadcastChannel	Text				The type of service required to have access to the channel (e.g. Standard or Premium).
broadcastSignalModulation	pending:				BroadcastFrequencySpecification	QualitativeValue, Text				The modulation (e.g. FM, AM, etc) used by a particular broadcast service.
broadcastSubChannel	pending:				BroadcastFrequencySpecification	Text				The subchannel used for the broadcast.
broadcastTimezone					BroadcastService	Text				"The timezone in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 format</a> for which the service bases its broadcasts."
broadcaster					BroadcastService	Organization				The organization owning or operating the broadcast service.
broker					Invoice, Order, Reservation, Service	Organization, Person		bookingAgent		An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
browserRequirements					WebApplication	Text				Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.
busName					BusTrip	Text				The name of the bus (e.g. Bolt Express).
busNumber					BusTrip	Text				The unique identifier for the bus.
businessDays	pending:				ShippingDeliveryTime	OpeningHoursSpecification				Days of the week when the merchant typically operates, indicated via opening hours markup.
businessFunction					Demand, Offer, TypeAndQuantityNode	BusinessFunction				The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
buyer		participant			SellAction	Organization, Person				A sub property of participant. The participant/person/organization that bought the object.
