Year	Date	Event	Significance
1121	25 December	[St. Norbert](https://en.wikipedia.org/wiki/Norbert_of_Xanten "Norbert of Xanten") and 29 companions make their solemn vows marking the beginning of the [Premonstratensian](https://en.wikipedia.org/wiki/Premonstratensian "Premonstratensian") Order.	This order played a significant role in evangelizing the [Slavs](https://en.wikipedia.org/wiki/Slavs "Slavs"), the [Wends](https://en.wikipedia.org/wiki/Wends "Wends"), to the east of the [Holy Roman Empire](https://en.wikipedia.org/wiki/Holy_Roman_Empire "Holy Roman Empire").
1122	23 September	The [Concordat of Worms](https://en.wikipedia.org/wiki/Concordat_of_Worms "Concordat of Worms") was drawn up between Emperor [Henry V](https://en.wikipedia.org/wiki/Henry_V,_Holy_Roman_Emperor "Henry V, Holy Roman Emperor") and Pope [Calixtus II](https://en.wikipedia.org/wiki/Calixtus_II "Calixtus II").	This concordat ended the investiture struggle, but bitter rivalry between emperor and pope remained.
1123	18 March - 27 March	The [First Lateran Council](https://en.wikipedia.org/wiki/First_Council_of_the_Lateran "First Council of the Lateran") followed and confirmed the [Concordat of Worms](https://en.wikipedia.org/wiki/Concordat_of_Worms "Concordat of Worms").	
1125		[Lothair](https://en.wikipedia.org/wiki/Lothair_III,_Holy_Roman_Emperor "Lothair III, Holy Roman Emperor") of Supplinburg, duke of [Saxony](https://en.wikipedia.org/wiki/Saxony "Saxony"), is elected [Holy Roman Emperor](https://en.wikipedia.org/wiki/Holy_Roman_Emperor "Holy Roman Emperor") instead of the nearest heir, [Frederick](https://en.wikipedia.org/w/index.php?title=Fredrick_I,_Holy_Roman_Emperor&action=edit&redlink=1 "Fredrick I, Holy Roman Emperor (page does not exist)") of Swabia.	This election marks the beginning of the great struggle between the [Guelfs](https://en.wikipedia.org/wiki/Guelfs "Guelfs") and the [Ghibellines](https://en.wikipedia.org/wiki/Ghibellines "Ghibellines").
1125–1127		[Jingkang Incident](https://en.wikipedia.org/wiki/Jingkang_Incident "Jingkang Incident").	The [Jurchen](https://en.wikipedia.org/wiki/Jin_dynasty_(1115%E2%80%931234) "Jin dynasty (1115–1234)") soldiers sack [Kaifeng](https://en.wikipedia.org/wiki/Bianjing "Bianjing"), bringing an end to the [Northern Song Dynasty](https://en.wikipedia.org/wiki/Northern_Song_Dynasty "Northern Song Dynasty") in China; the Song moves further south and makes [Lin'an](https://en.wikipedia.org/wiki/Hangzhou "Hangzhou") their new capital.
1130	25 December	[Roger II](https://en.wikipedia.org/wiki/Roger_II "Roger II") is crowned King of [Sicily](https://en.wikipedia.org/wiki/Sicily "Sicily"), a Royal title given him by the [Antipope](https://en.wikipedia.org/wiki/Antipope "Antipope") [Anacletus II](https://en.wikipedia.org/wiki/Anacletus_II "Anacletus II").	This coronation marks the beginning of the Kingdom of Sicily and its Mediterranean empire under the [Norman](https://en.wikipedia.org/wiki/Normans "Normans") kings, which was able to take on the [Holy Roman Empire](https://en.wikipedia.org/wiki/Holy_Roman_Empire "Holy Roman Empire"), the [Papacy](https://en.wikipedia.org/wiki/Papacy "Papacy"), and the [Byzantine Empire](https://en.wikipedia.org/wiki/Byzantine_Empire "Byzantine Empire").
1135		[The Anarchy](https://en.wikipedia.org/wiki/The_Anarchy "The Anarchy") begins in England.	This will mark a 19-year period of Government strife and Civil War between the supporters of [Stephen](https://en.wikipedia.org/wiki/King_Stephen_of_England "King Stephen of England") and [Matilda](https://en.wikipedia.org/wiki/Empress_Matilda "Empress Matilda"), and end with the crowning of Matilda's son, [Henry II](https://en.wikipedia.org/wiki/Henry_II_of_England "Henry II of England"), and beginning the [Plantagenet](https://en.wikipedia.org/wiki/Plantagenet "Plantagenet") dynasty.
1139	April	The [Second Lateran Council](https://en.wikipedia.org/wiki/Second_Council_of_the_Lateran "Second Council of the Lateran") declared clerical marriages invalid, regulated clerical dress, and punished attacks on clerics by [excommunication](https://en.wikipedia.org/wiki/Excommunication "Excommunication").	Enforces the major reforms that [Gregory VII](https://en.wikipedia.org/wiki/Pope_Gregory_VII "Pope Gregory VII") began to heavily campaign for several decades earlier.
1140		[Decretum](https://en.wikipedia.org/wiki/Decretum_Gratiani "Decretum Gratiani")	[Gratian](https://en.wikipedia.org/wiki/Decretum_Gratiani "Decretum Gratiani")
1144		Rebuild of [Basilica of Saint Denis](https://en.wikipedia.org/wiki/Basilica_of_Saint_Denis "Basilica of Saint Denis")	[Suger](https://en.wikipedia.org/wiki/Suger "Suger")
1147–1149		The [Second Crusade](https://en.wikipedia.org/wiki/Second_Crusade "Second Crusade") was in retaliation for the fall of [Edessa](https://en.wikipedia.org/wiki/Edessa,_Mesopotamia "Edessa, Mesopotamia"), one of the first [Crusader States](https://en.wikipedia.org/wiki/Crusader_States "Crusader States") founded in the First Crusade. It was an overall failure.	This was the first Crusade to have been led by European kings.
1150		[Ramon Berenguer IV, Count of Barcelona](https://en.wikipedia.org/wiki/Ramon_Berenguer_IV,_Count_of_Barcelona "Ramon Berenguer IV, Count of Barcelona"), married Queen [Petronilla of Aragon](https://en.wikipedia.org/wiki/Petronilla_of_Aragon "Petronilla of Aragon"). They had been betrothed in 1137.	This marriage gave the Kingdom of [Aragon](https://en.wikipedia.org/wiki/Aragon "Aragon") access to the Mediterranean Sea, creating a powerful kingdom which expanded to control many of the Mediterranean lands.
1150		Founding of the [University of Paris](https://en.wikipedia.org/wiki/University_of_Paris "University of Paris")	
1152		The [Synod of Kells-Mellifont](https://en.wikipedia.org/wiki/Synod_of_Kells-Mellifont "Synod of Kells-Mellifont") established the present diocesan system of Ireland (with later modifications) and recognized the [primacy](https://en.wikipedia.org/wiki/Primate_(bishop) "Primate (bishop)") of [Armagh](https://en.wikipedia.org/wiki/Armagh "Armagh").	This synod marks the inclusion of the Irish Church into mainstream European Catholicism.
1154		[Common Law](https://en.wikipedia.org/wiki/Common_law#Norman_conquest "Common law")	[Henry II](https://en.wikipedia.org/wiki/Henry_II_of_England "Henry II of England")
1158		The [Hanseatic League](https://en.wikipedia.org/wiki/Hanseatic_League "Hanseatic League") is founded.	This marks a new period of trade and economic development for northern and central Europe.
1163		The first cornerstone is laid for the construction of [Notre Dame de Paris](https://en.wikipedia.org/wiki/Notre_Dame_de_Paris "Notre Dame de Paris").	One of the most famous [Gothic](https://en.wikipedia.org/wiki/Gothic_architecture "Gothic architecture") cathedrals of the Middle Ages
1166		[Stefan Nemanja](https://en.wikipedia.org/wiki/Stefan_Nemanja "Stefan Nemanja") united Serbian territories, establishing the Medieval Serbian state.	This marks the rise of [Serbia](https://en.wikipedia.org/wiki/Serbia "Serbia") which will dominate the Balkans for the next three hundred years. Allies of Serbia at this moment become the Hungarian Kingdom and the [Republic of Venice](https://en.wikipedia.org/wiki/Republic_of_Venice "Republic of Venice").
1171		King [Henry II of England](https://en.wikipedia.org/wiki/Henry_II_of_England "Henry II of England") lands in Ireland to assert his supremacy and the Synod of Cashel acknowledges his sovereignty.	With his landing, Henry begins the English claim to and occupation of Ireland which would last some seven and a half centuries.
1174	7/12	King [William I of Scotland](https://en.wikipedia.org/wiki/William_I_of_Scotland "William I of Scotland"), captured in the [Battle of Alnwick](https://en.wikipedia.org/wiki/Battle_of_Alnwick_(1174) "Battle of Alnwick (1174)") by the English, accepts the feudal lordship of the English crown and does ceremonial allegiance at York.	This is the beginning of the gradual acquisition of Scotland by the English.
1175		[Hōnen Shōnin](https://en.wikipedia.org/wiki/H%C5%8Dnen "Hōnen") (Genkū) founds the [Jōdo shū](https://en.wikipedia.org/wiki/Jodo_shu "Jodo shu") (Pure Land) sect of Buddhism.	This event marks the beginning of the Buddhist sectarian movement in Japan.
1176	5/29	At the [Battle of Legnano](https://en.wikipedia.org/wiki/Battle_of_Legnano "Battle of Legnano"), the cavalry of [Frederick Barbarossa](https://en.wikipedia.org/wiki/Frederick_I,_Holy_Roman_Emperor "Frederick I, Holy Roman Emperor") is defeated by the infantry of the [Lombard League](https://en.wikipedia.org/wiki/Lombard_League "Lombard League").	This is the first major defeat of cavalry by infantry, signaling the new role of the bourgeoisie.
1175		Latin-translation	[Gerard of Cremona](https://en.wikipedia.org/wiki/Gerard_of_Cremona "Gerard of Cremona")
1179		church schools	[Third Council of the Lateran](https://en.wikipedia.org/wiki/Third_Council_of_the_Lateran "Third Council of the Lateran")
1179	March	The [Third Lateran Council](https://en.wikipedia.org/wiki/Third_Council_of_the_Lateran "Third Council of the Lateran") limits papal electees to the cardinals alone, condemns [simony](https://en.wikipedia.org/wiki/Simony "Simony"), and forbids the promotion of anyone to the [episcopate](https://en.wikipedia.org/wiki/Episcopate "Episcopate") before the age of thirty.	
1183		The final [Peace of Constance](https://en.wikipedia.org/wiki/Peace_of_Constance "Peace of Constance") between [Frederick Barbarossa](https://en.wikipedia.org/wiki/Frederick_I,_Holy_Roman_Emperor "Frederick I, Holy Roman Emperor"), the pope, and the Lombard towns is signed.	The various articles of the treaty destroyed the unity of the Empire and Germany and Italy underwent separate developments.
1183		The [Taira](https://en.wikipedia.org/wiki/Taira "Taira") clan are driven out of [Kyōto](https://en.wikipedia.org/wiki/Ky%C5%8Dto "Kyōto") by [Minamoto](https://en.wikipedia.org/wiki/Minamoto "Minamoto") Yoshinaka.	The two-year conflict which follows ends at the [Battle of Dan no Ura](https://en.wikipedia.org/wiki/Battle_of_Dan_no_Ura "Battle of Dan no Ura") (1185).
1184	November	Pope [Lucius III](https://en.wikipedia.org/wiki/Lucius_III "Lucius III") issues the [papal bull](https://en.wikipedia.org/wiki/Papal_bull "Papal bull") _[Ad Abolendam](https://en.wikipedia.org/wiki/Ad_Abolendam "Ad Abolendam")_.	This bull set up the organization of the medieval [inquisitions](https://en.wikipedia.org/wiki/Inquisitions "Inquisitions").
1185		[Windmills](https://en.wikipedia.org/wiki/Windmills "Windmills") are first recorded.	
1185		[Uprising of Asen and Peter](https://en.wikipedia.org/wiki/Uprising_of_Asen_and_Peter "Uprising of Asen and Peter"). The reestablishment of the [Bulgarian Empire](https://en.wikipedia.org/wiki/Second_Bulgarian_Empire "Second Bulgarian Empire").	
1185		At the [Battle of Dan no Ura](https://en.wikipedia.org/wiki/Battle_of_Dan_no_Ura "Battle of Dan no Ura"), [Minamoto](https://en.wikipedia.org/wiki/Minamoto "Minamoto") Yoshitsune annihilates the [Taira](https://en.wikipedia.org/wiki/Taira "Taira") clan.	The elimination of the Taira leaves the Minamoto the virtual rulers of Japan and marks the beginning of the first period of feudal rule known as the [Kamakura Period](https://en.wikipedia.org/wiki/Kamakura_Period "Kamakura Period").
1186	1/27	The future emperor [Henry VI](https://en.wikipedia.org/wiki/Henry_VI,_Holy_Roman_Emperor "Henry VI, Holy Roman Emperor") marries [Constance of Sicily](https://en.wikipedia.org/wiki/Constance_of_Sicily "Constance of Sicily"), heiress to the [Sicilian](https://en.wikipedia.org/wiki/Sicily "Sicily") throne.	This marriage shifts the focus of the [Guelphs](https://en.wikipedia.org/wiki/Guelphs_and_Ghibellines "Guelphs and Ghibellines")/Ghibelline struggle to Sicily and marks the ruin of the House of [Hohenstaufen](https://en.wikipedia.org/wiki/Hohenstaufen "Hohenstaufen").
1187		[Saladin](https://en.wikipedia.org/wiki/Saladin "Saladin") recaptures Jerusalem.	Would lead to the [Third Crusade](https://en.wikipedia.org/wiki/Third_Crusade "Third Crusade").
1188		[Tractatus of Glanvil](https://en.wikipedia.org/wiki/Tractatus_of_Glanvil "Tractatus of Glanvil")	[Oxford University](https://en.wikipedia.org/wiki/University_of_Oxford "University of Oxford")
1189	July 6	[Richard I](https://en.wikipedia.org/wiki/Richard_I_of_England "Richard I of England") ascends the throne of England.	His heavy taxation to finance his European ventures created an antipathy of barons and people toward the crown, but his being absent enabled the English to advance in their political development.
1189	November 11	[William II of Sicily](https://en.wikipedia.org/wiki/William_II_of_Sicily "William II of Sicily") died and was succeeded by [Tancred of Sicily](https://en.wikipedia.org/wiki/Tancred_of_Sicily "Tancred of Sicily") instead of Constance.	A result to the displeasure of Constance and her husband Henry that would lead to expeditions in 1191 and 1194.
1189	1192	The [Third Crusade](https://en.wikipedia.org/wiki/Third_Crusade "Third Crusade") follows upon [Saladin](https://en.wikipedia.org/wiki/Saladin "Saladin")'s uniting the Muslim world and recapturing [Jerusalem](https://en.wikipedia.org/wiki/Jerusalem "Jerusalem").	Despite managing to win several major battles, the Crusaders did not recapture Jerusalem.
1191	May to August	New Emperor Henry VI sets an expedition to conquer Kingdom of Sicily however fails and Empress Constance is captured.	In 1192 [Margaritus of Brindisi](https://en.wikipedia.org/wiki/Margaritus_of_Brindisi "Margaritus of Brindisi") was created the first [Count of Malta](https://en.wikipedia.org/wiki/Count_of_Malta "Count of Malta") for capturing the empress; in the same year [Pope Celestine III](https://en.wikipedia.org/wiki/Pope_Celestine_III "Pope Celestine III") forced Tancred to release the empress.
1192		[Minamoto no Yoritomo](https://en.wikipedia.org/wiki/Minamoto_no_Yoritomo "Minamoto no Yoritomo") is appointed _Sei-i Taishōgun_, or _[shōgun](https://en.wikipedia.org/wiki/Sh%C5%8Dgun "Shōgun")_ for short.	He is the first of a long line of military dictators to bear this title. The institution would last until 1913.
1193		[Muhammad bin Bakhtiyar Khilji](https://en.wikipedia.org/wiki/Muhammad_bin_Bakhtiyar_Khilji "Muhammad bin Bakhtiyar Khilji") sack and burn the university at [Nalanda](https://en.wikipedia.org/wiki/Nalanda "Nalanda").	This is the beginning of the decline of [Buddhism](https://en.wikipedia.org/wiki/Buddhism "Buddhism") in India.
1193		The first known merchant [guild](https://en.wikipedia.org/wiki/Guild "Guild").	
1195		[Battle of Alarcos](https://en.wikipedia.org/wiki/Battle_of_Alarcos "Battle of Alarcos") The [Almohad Caliphate](https://en.wikipedia.org/wiki/Almohad_Caliphate "Almohad Caliphate") decisively defeat the Kingdom of Castile.	The Almohads pushed Christians to the north and established themselves as the supreme power in Al-Andalus
1199		Europeans first use [compasses](https://en.wikipedia.org/wiki/Compass "Compass").	
