label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
course-prerequisites	"AlignmentObject, Course, Text"	Course	course_prerequisites	coursePrerequisites								"Requirements for taking the Course. May be completion of another <a class=""localLink"" href=""/Course"">Course</a> or a textual description like ""permission of instructor"". Requirements may be a pre-requisite competency, referenced using <a class=""localLink"" href=""/AlignmentObject"">AlignmentObject</a>."
arterial-branch	AnatomicalStructure	Artery	arterial_branch	arterialBranch						branch		The branches that comprise the arterial structure.
branch	AnatomicalStructure	Nerve	branch	branch							arterialBranch	"The branches that delineate from the nerve bundle. Not to be confused with <a class=""localLink"" href=""/branchOf"">branchOf</a>."
connected-to	AnatomicalStructure	AnatomicalStructure	connected_to	connectedTo								Other anatomical structures to which this structure is connected.
insertion	AnatomicalStructure	Muscle	insertion	insertion								"The place of attachment of a muscle, or what the muscle moves."
related-structure	AnatomicalStructure	AnatomicalSystem	related_structure	relatedStructure								"Related anatomical structure(s) that are not part of the system but relate or connect to it, such as vascular bundles associated with an organ system."
sub-structure	AnatomicalStructure	AnatomicalStructure	sub_structure	subStructure								Component (sub-)structure(s) that comprise this anatomical structure.
supply-to	AnatomicalStructure	Artery	supply_to	supplyTo								The area to which the artery supplies blood.
tributary	AnatomicalStructure	Vein	tributary	tributary								The anatomical or organ system that the vein flows into; a larger structure that the vein connects to.
comprised-of	"AnatomicalStructure, AnatomicalSystem"	AnatomicalSystem	comprised_of	comprisedOf								"Specifying something physically contained by something else. Typically used here for the underlying anatomical structures, such as organs, that comprise the anatomical system."
region-drained	"AnatomicalStructure, AnatomicalSystem"	"LymphaticVessel, Vein"	region_drained	regionDrained								The anatomical or organ system drained by this vessel; generally refers to a specific part of an organ.
related-anatomy	"AnatomicalStructure, AnatomicalSystem"	SuperficialAnatomy	related_anatomy	relatedAnatomy								Anatomical systems or structures that relate to the superficial anatomy.
expressed-in	"AnatomicalStructure, AnatomicalSystem, BioChemEntity, DefinedTerm"	Gene	expressed_in	expressedIn	pending:							"Tissue, organ, biological sample, etc in which activity of this gene has been observed experimentally. For example brain, digestive system."
associated-anatomy	"AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy"	"MedicalCondition, PhysicalActivity"	associated_anatomy	associatedAnatomy								The anatomy of the underlying organ system or structures associated with this entity.
sensory-unit	"AnatomicalStructure, SuperficialAnatomy"	Nerve	sensory_unit	sensoryUnit								The neurological pathway extension that inputs and sends information to the brain or spinal cord.
part-of-system	AnatomicalSystem	AnatomicalStructure	part_of_system	partOfSystem								The anatomical or organ system that this structure is part of.
accepted-answer	"Answer, ItemList"	Question	accepted_answer	acceptedAnswer		suggestedAnswer						"The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author."
suggested-answer	"Answer, ItemList"	Question	suggested_answer	suggestedAnswer				acceptedAnswer				"An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site."
archive-held	ArchiveComponent	ArchiveOrganization	archive_held	archiveHeld	pending:				holdingArchive			"Collection, <a href=""https://en.wikipedia.org/wiki/Fonds"">fonds</a>, or item held, kept or maintained by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>."
holding-archive	ArchiveOrganization	ArchiveComponent	holding_archive	holdingArchive	pending:				archiveHeld			"<a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a> that holds, keeps or maintains the <a class=""localLink"" href=""/ArchiveComponent"">ArchiveComponent</a>."
diversity-staffing-report	"Article, URL"	"NewsMediaOrganization, Organization"	diversity_staffing_report	diversityStaffingReport	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (often but not necessarily a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a report on staffing diversity issues. In a news context this might be for example ASNE or RTDNA (US) reports, or self-reported."
audience	Audience	"CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service"	audience	audience						serviceAudience		"An intended audience, i.e. a group for whom something was created."
permit-audience	Audience	Permit	permit_audience	permitAudience								The target audience for this permit.
service-audience	Audience	Service	service_audience	serviceAudience							audience	The audience eligible for this service.
grantee	"Audience, ContactPoint, Organization, Person"	DigitalDocumentPermission	grantee	grantee								"The person, organization, contact point, or audience that has been granted this permission."
recipient	"Audience, ContactPoint, Organization, Person"	"AuthorizeAction, CommunicateAction, DonateAction, GiveAction, Message, PayAction, ReturnAction, SendAction, TipAction"	recipient	recipient		participant		"bccRecipient, ccRecipient, toRecipient"				A sub property of participant. The participant who is at the receiving end of the action.
to-recipient	"Audience, ContactPoint, Organization, Person"	Message	to_recipient	toRecipient		recipient						A sub property of recipient. The recipient who was directly sent the message.
sender	"Audience, Organization, Person"	"Message, ReceiveAction"	sender	sender		participant						A sub property of participant. The participant who is at the sending end of the action.
tourist-type	"Audience, Text"	"TouristAttraction, TouristDestination, TouristTrip"	tourist_type	touristType								"Attraction suitable for type(s) of tourist. E.g. children, visitors from a particular country, etc."
audio	"AudioObject, Clip, MusicRecording"	CreativeWork	audio	audio								An embedded audio object.
beneficiary-bank	"BankOrCreditUnion, Text"	MoneyTransfer	beneficiary_bank	beneficiaryBank	pending:							"A bank or bank�s branch, financial institution or international financial institution operating the beneficiary�s bank account or releasing funds for the beneficiary."
bed	"BedDetails, BedType, Text"	"HotelRoom, Suite"	bed	bed								"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
type-of-bed	"BedType, Text"	BedDetails	type_of_bed	typeOfBed								"The type of bed to which the BedDetail refers, i.e. the type of bed available in the quantity indicated by quantity."
bio-chem-interaction	BioChemEntity	BioChemEntity	bio_chem_interaction	bioChemInteraction	pending:							A BioChemEntity that is known to interact with this item.
bio-chem-similarity	BioChemEntity	BioChemEntity	bio_chem_similarity	bioChemSimilarity	pending:							"A similar BioChemEntity, e.g., obtained by fingerprint similarity algorithms."
encodes-bio-chem-entity	BioChemEntity	Gene	encodes_bio_chem_entity	encodesBioChemEntity	pending:				isEncodedByBioChemEntity			Another BioChemEntity encoded by this one.
has-bio-chem-entity-part	BioChemEntity	BioChemEntity	has_bio_chem_entity_part	hasBioChemEntityPart	pending:				isPartOfBioChemEntity			Indicates a BioChemEntity that (in some sense) has this BioChemEntity as a part.
is-part-of-bio-chem-entity	BioChemEntity	BioChemEntity	is_part_of_bio_chem_entity	isPartOfBioChemEntity	pending:				hasBioChemEntityPart			Indicates a BioChemEntity that is (in some sense) a part of this BioChemEntity.
funded-item	"BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product"	Grant	funded_item	fundedItem	pending:				funding			"Indicates something directly or indirectly funded or sponsored through a <a class=""localLink"" href=""/Grant"">Grant</a>. See also <a class=""localLink"" href=""/ownershipFundingInfo"">ownershipFundingInfo</a>."
blog-post	BlogPosting	Blog	blog_post	blogPost						blogPosts		A posting that is part of this blog.
blog-posts	BlogPosting	Blog	blog_posts	blogPosts							blogPost	"Indicates a post that is part of a <a class=""localLink"" href=""/Blog"">Blog</a>. Note that historically, what we term a ""Blog"" was once known as a ""weblog"", and that what we term a ""BlogPosting"" is now often colloquially referred to as a ""blog""."
live-blog-update	BlogPosting	LiveBlogPosting	live_blog_update	liveBlogUpdate								An update to the LiveBlog.
boarding-policy	BoardingPolicyType	"Airline, Flight"	boarding_policy	boardingPolicy								The type of boarding policy used by the airline (e.g. zone-based or group-based).
arrival-boat-terminal	BoatTerminal	BoatTrip	arrival_boat_terminal	arrivalBoatTerminal	pending:							The terminal or port from which the boat arrives.
departure-boat-terminal	BoatTerminal	BoatTrip	departure_boat_terminal	departureBoatTerminal	pending:							The terminal or port from which the boat departs.
book-format	BookFormatType	Book	book_format	bookFormat								The format of the book.
sourced-from	BrainStructure	Nerve	sourced_from	sourcedFrom								The neurological pathway that originates the neurons.
brand	"Brand, Organization"	"Organization, Person, Product, Service"	brand	brand								"The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person."
breadcrumb	"BreadcrumbList, Text"	WebPage	breadcrumb	breadcrumb								A set of links that can help a user understand and navigate a website hierarchy.
has-broadcast-channel	BroadcastChannel	BroadcastService	has_broadcast_channel	hasBroadcastChannel					providesBroadcastService			A broadcast channel of a broadcast service.
broadcast-frequency	"BroadcastFrequencySpecification, Text"	"BroadcastChannel, BroadcastService"	broadcast_frequency	broadcastFrequency								"The frequency used for over-the-air broadcasts. Numeric values or simple ranges, e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. ""87 FM""."
parent-service	BroadcastService	BroadcastService	parent_service	parentService								A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.
provides-broadcast-service	BroadcastService	BroadcastChannel	provides_broadcast_service	providesBroadcastService					hasBroadcastChannel			The BroadcastService offered on this channel.
published-on	BroadcastService	PublicationEvent	published_on	publishedOn								A broadcast service associated with the publication event.
eligible-customer-type	BusinessEntityType	"Demand, Offer"	eligible_customer_type	eligibleCustomerType								The type(s) of customers for which the given offer is valid.
business-function	BusinessFunction	"Demand, Offer, TypeAndQuantityNode"	business_function	businessFunction								"The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell."
arrival-bus-stop	"BusStation, BusStop"	BusTrip	arrival_bus_stop	arrivalBusStop								The stop or station from which the bus arrives.
departure-bus-stop	"BusStation, BusStop"	BusTrip	departure_bus_stop	departureBusStop								The stop or station from which the bus departs.
in-broadcast-lineup	CableOrSatelliteService	BroadcastChannel	in_broadcast_lineup	inBroadcastLineup								The CableOrSatelliteService offering the channel.
vehicle-special-usage	"CarUsageType, Text"	Vehicle	vehicle_special_usage	vehicleSpecialUsage	https://auto.schema.org							"Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school, or as a taxi. The legislation in many countries requires this information to be revealed when offering a car for sale."
has-category-code	CategoryCode	CategoryCodeSet	has_category_code	hasCategoryCode	pending:	hasDefinedTerm						A Category code contained in this code set.
category	"CategoryCode, PhysicalActivityCategory, Text, Thing, URL"	"ActionAccessSpecification, Invoice, Offer, PhysicalActivity, Product, Recommendation, Service, SpecialAnnouncement"	category	category				accommodationCategory				A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
legislation-type	"CategoryCode, Text"	Legislation	legislation_type	legislationType	pending:	genre	http://data.europa.eu/eli/ontology#type_document					"The type of the legislation. Examples of values are ""law"", ""act"", ""directive"", ""decree"", ""regulation"", ""statutory instrument"", ""loi organique"", ""r�glement grand-ducal"", etc., depending on the country."
occupational-category	"CategoryCode, Text"	"EducationalOccupationalProgram, JobPosting, Occupation, WorkBasedProgram"	occupational_category	occupationalCategory	pending:							"A category describing the job, preferably using a term from a taxonomy such as <a href=""http://www.onetcenter.org/taxonomy.html"">BLS O*NET-SOC</a>, <a href=""https://www.ilo.org/public/english/bureau/stat/isco/isco08/"">ISCO-08</a> or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.<br/><br/>

Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC."
in-code-set	"CategoryCodeSet, URL"	CategoryCode	in_code_set	inCodeSet	pending:	inDefinedTermSet						"A <a class=""localLink"" href=""/CategoryCodeSet"">CategoryCodeSet</a> that contains this category code."
healthcare-reporting-data	"CDCPMDRecord, Dataset"	Hospital	healthcare_reporting_data	healthcareReportingData	pending:							"Indicates data describing a hospital, e.g. a CDC <a class=""localLink"" href=""/CDCPMDRecord"">CDCPMDRecord</a> or as some kind of <a class=""localLink"" href=""/Dataset"">Dataset</a>."
announcement-location	"CivicStructure, LocalBusiness"	SpecialAnnouncement	announcement_location	announcementLocation	pending:	spatialCoverage						"Indicates a specific <a class=""localLink"" href=""/CivicStructure"">CivicStructure</a> or <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a> associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>."
interpreted-as-claim	Claim	"CreativeWork, MediaObject"	interpreted_as_claim	interpretedAsClaim	pending:	description						"Used to indicate a specific claim contained, implied, translated or refined from the content of a <a class=""localLink"" href=""/MediaObject"">MediaObject</a> or other <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>. The interpreting party can be indicated using <a class=""localLink"" href=""/claimInterpreter"">claimInterpreter</a>."
domain-includes	Class	Property	domain_includes	domainIncludes	https://meta.schema.org							Relates a property to a class that is (one of) the type(s) the property is expected to be used on.
population-type	Class	StatisticalPopulation	population_type	populationType	pending:							"Indicates the populationType common to all members of a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>."
range-includes	Class	Property	range_includes	rangeIncludes	https://meta.schema.org							Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.
superseded-by	"Class, Enumeration, Property"	"Class, Enumeration, Property"	superseded_by	supersededBy	https://meta.schema.org							"Relates a term (i.e. a property, class or enumeration) to one that supersedes it."
video	"Clip, VideoObject"	CreativeWork	video	video								An embedded video object.
comment	Comment	"CreativeWork, RsvpAction"	comment	comment								"Comments, typically from users."
parent-item	Comment	Comment	parent_item	parentItem								"The parent of a question, answer or item in general."
result-comment	Comment	"CommentAction, ReplyAction"	result_comment	resultComment		result						A sub property of result. The Comment created or sent as a result of this action.
answer-explanation	"Comment, WebContent"	Answer	answer_explanation	answerExplanation	pending:							A step-by-step or full explanation about Answer. Can outline how this Answer was achieved or contain more broad clarification or statement about it.
programming-language	"ComputerLanguage, Text"	SoftwareSourceCode	programming_language	programmingLanguage								The computer programming language.
application-contact	ContactPoint	JobPosting	application_contact	applicationContact	pending:							Contact details for further information relevant to this job posting.
contact-point	ContactPoint	"HealthInsurancePlan, Organization, Person"	contact_point	contactPoint						contactPoints		A contact point for a person or organization.
contact-points	ContactPoint	"Organization, Person"	contact_points	contactPoints							contactPoint	A contact point for a person or organization.
service-phone	ContactPoint	ServiceChannel	service_phone	servicePhone								The phone number to use to access the service.
service-sms-number	ContactPoint	ServiceChannel	service_sms_number	serviceSmsNumber								The number to access the service by text message.
bcc-recipient	"ContactPoint, Organization, Person"	Message	bcc_recipient	bccRecipient		recipient						A sub property of recipient. The recipient blind copied on a message.
cc-recipient	"ContactPoint, Organization, Person"	Message	cc_recipient	ccRecipient		recipient						A sub property of recipient. The recipient copied on a message.
home-location	"ContactPoint, Place"	Person	home_location	homeLocation		location						A contact location for a person's residence.
work-location	"ContactPoint, Place"	Person	work_location	workLocation		location						A contact location for a person's place of work.
contact-option	ContactPointOption	ContactPoint	contact_option	contactOption								An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers).
correction	"CorrectionComment, Text, URL"	CreativeWork	correction	correction	pending:							"Indicates a correction to a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>, either via a <a class=""localLink"" href=""/CorrectionComment"">CorrectionComment</a>, textually or in another document."
country-of-origin	Country	"CreativeWork, Movie, Product, TVEpisode, TVSeason, TVSeries"	country_of_origin	countryOfOrigin								"The country of origin of something, including products as well as creative  works such as movie and TV content.<br/><br/>

In the case of TV and movie, this would be the country of the principle offices of the production company or individual responsible for the movie. For other kinds of <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> it is difficult to provide fully general guidance, and properties such as <a class=""localLink"" href=""/contentLocation"">contentLocation</a> and <a class=""localLink"" href=""/locationCreated"">locationCreated</a> may be more applicable.<br/><br/>

In the case of products, the country of origin of the product. The exact interpretation of this may vary by context and product type, and cannot be fully enumerated here."
nationality	Country	Person	nationality	nationality								Nationality of the person.
address-country	"Country, Text"	"DefinedRegion, GeoCoordinates, GeoShape, PostalAddress"	address_country	addressCountry								"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>."
applicable-country	"Country, Text"	MerchantReturnPolicy	applicable_country	applicableCountry	pending:							"A country where a particular merchant return policy applies to, for example the two-letter ISO 3166-1 alpha-2 country code."
return-policy-country	"Country, Text"	MerchantReturnPolicy	return_policy_country	returnPolicyCountry	pending:							"The country where the product has to be sent to for returns, for example ""Ireland"" using the <a class=""localLink"" href=""/name"">name</a> property of <a class=""localLink"" href=""/Country"">Country</a>. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>. Note that this can be different from the country where the product was originally shipped from or sent to."
has-course	Course	EducationalOccupationalProgram	has_course	hasCourse	pending:							A course or class that is one of the learning opportunities that constitute an educational / occupational program. No information is implied about whether the course is mandatory or optional; no guarantee is implied about whether the course will be available to everyone on the program.
has-course-instance	CourseInstance	Course	has_course_instance	hasCourseInstance								An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.
appearance	CreativeWork	Claim	appearance	appearance	pending:	workExample						"Indicates an occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
cheat-code	CreativeWork	"VideoGame, VideoGameSeries"	cheat_code	cheatCode								Cheat codes to the game.
discusses	CreativeWork	UserComments	discusses	discusses								Specifies the CreativeWork associated with the UserComment.
encodes-creative-work	CreativeWork	MediaObject	encodes_creative_work	encodesCreativeWork					encoding			The CreativeWork encoded by this media object.
example-of-work	CreativeWork	CreativeWork	example_of_work	exampleOfWork					workExample			A creative work that this work is an example/instance/realization/derivation of.
first-appearance	CreativeWork	Claim	first_appearance	firstAppearance	pending:	workExample						"Indicates the first known occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
game-tip	CreativeWork	VideoGame	game_tip	gameTip								"Links to tips, tactics, etc."
has-part	CreativeWork	CreativeWork	has_part	hasPart				"containsSeason, episode, season, tocEntry"	isPartOf			"Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense)."
lyrics	CreativeWork	MusicComposition	lyrics	lyrics								The words in the song.
message-attachment	CreativeWork	Message	message_attachment	messageAttachment								A CreativeWork attached to the message.
recorded-in	CreativeWork	Event	recorded_in	recordedIn					recordedAt			The CreativeWork that captured all or part of this Event.
shared-content	CreativeWork	SocialMediaPosting	shared_content	sharedContent								"A CreativeWork such as an image, video, or audio clip shared as part of this posting."
software-help	CreativeWork	SoftwareApplication	software_help	softwareHelp								Software application help.
translation-of-work	CreativeWork	CreativeWork	translation_of_work	translationOfWork	https://bib.schema.org				workTranslation			The work that this work has been translated from. E.g. ???? is a translationOf �On the Origin of Species�.
work-example	CreativeWork	CreativeWork	work_example	workExample				"appearance, firstAppearance"	exampleOfWork			"Example/instance/realization/derivation of the concept of this creative work. E.g. the paperback edition, first edition, or e-book."
work-featured	CreativeWork	Event	work_featured	workFeatured				"workPerformed, workPresented"				"A work featured in some event, e.g. exhibited in an ExhibitionEvent.
       Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent)."
work-performed	CreativeWork	Event	work_performed	workPerformed		workFeatured						"A work performed in some event, for example a play performed in a TheaterEvent."
work-translation	CreativeWork	CreativeWork	work_translation	workTranslation	https://bib.schema.org				translationOfWork			"A work that is a translation of the content of this work. E.g. ??? has an English workTranslation �Journey to the West�, a German workTranslation �Monkeys Pilgerfahrt� and a Vietnamese  translation T�y du k� b�nh kh?o."
subject-of	"CreativeWork, Event"	Thing	subject_of	subjectOf					about			A CreativeWork or Event about this Thing.
step	"CreativeWork, HowToSection, HowToStep, Text"	HowTo	step	step				recipeInstructions		steps		"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection."
recipe-instructions	"CreativeWork, ItemList, Text"	Recipe	recipe_instructions	recipeInstructions		step						"A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items."
steps	"CreativeWork, ItemList, Text"	"HowTo, HowToSection"	steps	steps							step	"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred)."
is-based-on	"CreativeWork, Product, URL"	CreativeWork	is_based_on	isBasedOn						isBasedOnUrl		A resource from which this work is derived or from which it is a modification or adaption.
is-based-on-url	"CreativeWork, Product, URL"	CreativeWork	is_based_on_url	isBasedOnUrl							isBasedOn	"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html."
backstory	"CreativeWork, Text"	Article	backstory	backstory	pending:							"For an <a class=""localLink"" href=""/Article"">Article</a>, typically a <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc."
citation	"CreativeWork, Text"	CreativeWork	citation	citation								"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc."
acquire-license-page	"CreativeWork, URL"	CreativeWork	acquire_license_page	acquireLicensePage	pending:	usageInfo						"Indicates a page documenting how licenses can be purchased or otherwise acquired, for the current item."
actionable-feedback-policy	"CreativeWork, URL"	"NewsMediaOrganization, Organization"	actionable_feedback_policy	actionableFeedbackPolicy	pending:	publishingPrinciples						"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement about public engagement activities (for news media, the newsroom�s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication."
corrections-policy	"CreativeWork, URL"	"NewsMediaOrganization, Organization"	corrections_policy	correctionsPolicy	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (e.g. <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a statement describing (in news media, the newsroom�s) disclosure and correction policy for errors."
diversity-policy	"CreativeWork, URL"	"NewsMediaOrganization, Organization"	diversity_policy	diversityPolicy	pending:							"Statement on diversity policy by an <a class=""localLink"" href=""/Organization"">Organization</a> e.g. a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>. For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a statement describing the newsroom�s diversity policy on both staffing and sources, typically providing staffing data."
documentation	"CreativeWork, URL"	WebAPI	documentation	documentation	pending:							Further documentation describing the Web API in more detail.
ethics-policy	"CreativeWork, URL"	"NewsMediaOrganization, Organization"	ethics_policy	ethicsPolicy	pending:							"Statement about ethics policy, e.g. of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> regarding journalistic and publishing practices, or of a <a class=""localLink"" href=""/Restaurant"">Restaurant</a>, a page describing food source policies. In the case of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization."
is-part-of	"CreativeWork, URL"	CreativeWork	is_part_of	isPartOf				"inDefinedTermSet, partOfEpisode, partOfSeason, partOfSeries, partOfTVSeries"	hasPart			"Indicates an item or CreativeWork that this item, or CreativeWork (in some sense), is part of."
license	"CreativeWork, URL"	CreativeWork	license	license								"A license document that applies to this content, typically indicated by URL."
