sub-type-of	sub_type_of	subTypeOf	is_a_label_snail	label_snail	label-dash	id	label	enumerationtype	equivalentClass	isPartOf	properties	subTypes	supersedes	supersededBy	comment
price-component-type-enumeration	price_component_type_enumeration	PriceComponentTypeEnumeration	is_an_activation_fee	activation_fee	activation-fee	ActivationFee	ActivationFee	PriceComponentTypeEnumeration		https://pending.schema.org					Represents the activation fee part of the total price for an offered product, for example a cellphone contract.
action-status-type	action_status_type	ActionStatusType	is_an_active_action_status	active_action_status	active-action-status	ActiveActionStatus	ActiveActionStatus	ActionStatusType							An in-progress action (e.g., while watching the movie, or driving to a location).
medical-study-status	medical_study_status	MedicalStudyStatus	is_an_active_not_recruiting	active_not_recruiting	active-not-recruiting	ActiveNotRecruiting	ActiveNotRecruiting	MedicalStudyStatus							Active, but not recruiting new participants.
update-action	update_action	UpdateAction	is_an_add_action	add_action	add-action	AddAction	AddAction				actionStatus, additionalType, agent, alternateName, collection, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, targetCollection, url	InsertAction			The act of editing by adding an object to a collection.
place	place	Place	is_an_administrative_area	administrative_area	administrative-area	AdministrativeArea	AdministrativeArea				additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, openingHoursSpecification, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url	City, Country, SchoolDistrict, State			A geographical region, typically under the jurisdiction of a particular government.
entertainment-business	entertainment_business	EntertainmentBusiness	is_an_adult_entertainment	adult_entertainment	adult-entertainment	AdultEntertainment	AdultEntertainment				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				An adult entertainment establishment.
enumeration	enumeration	Enumeration	is_an_adult_oriented_enumeration	adult_oriented_enumeration	adult-oriented-enumeration	AdultOrientedEnumeration	AdultOrientedEnumeration			https://pending.schema.org					Enumeration of considerations that make a product relevant or potentially restricted for adults only.
article	article	Article	is_an_advertiser_content_article	advertiser_content_article	advertiser-content-article	AdvertiserContentArticle	AdvertiserContentArticle			https://pending.schema.org	about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, articleBody, articleSection, assesses, associatedMedia, audience, audio, author, award, awards, backstory, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pageEnd, pageStart, pagination, pattern, position, potentialAction, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, speakable, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, wordCount, workExample, workTranslation				An <a class="localLink" href="/Article">Article</a> that an external entity has paid to place or to produce to its specifications. Includes <a href="https://en.wikipedia.org/wiki/Advertorial">advertorials</a>, sponsored content, native advertising and other paid content.
physical-activity-category	physical_activity_category	PhysicalActivityCategory	is_an_aerobic_activity	aerobic_activity	aerobic-activity	AerobicActivity	AerobicActivity	PhysicalActivityCategory							Physical activity of relatively low intensity that depends primarily on the aerobic energy-generating process; during activity, the aerobic metabolism uses oxygen to adequately meet energy demands during exercise.
offer	offer	Offer	is_an_aggregate_offer	aggregate_offer	aggregate-offer	AggregateOffer	AggregateOffer				acceptedPaymentMethod, addOn, additionalType, advanceBookingRequirement, aggregateRating, alternateName, areaServed, asin, availability, availabilityEnds, availabilityStarts, availableAtOrFrom, availableDeliveryMethod, businessFunction, category, checkoutPageURLTemplate, deliveryLeadTime, description, disambiguatingDescription, eligibleCustomerType, eligibleDuration, eligibleQuantity, eligibleRegion, eligibleTransactionVolume, gtin, gtin12, gtin13, gtin14, gtin8, hasAdultConsideration, hasMeasurement, hasMerchantReturnPolicy, highPrice, identifier, image, includesObject, ineligibleRegion, inventoryLevel, isFamilyFriendly, itemCondition, itemOffered, leaseLength, lowPrice, mainEntityOfPage, mobileUrl, mpn, name, offerCount, offeredBy, offers, potentialAction, price, priceCurrency, priceSpecification, priceValidUntil, review, reviews, sameAs, seller, serialNumber, shippingDetails, sku, subjectOf, url, validFrom, validThrough, warranty				"When a single product is associated with multiple offers (for example, the same pair of shoes is offered by different merchants), then AggregateOffer can be used.<br/><br/>

Note: AggregateOffers are normally expected to associate multiple offers that all share the same defined <a class=""localLink"" href=""/businessFunction"">businessFunction</a> value, or default to http://purl.org/goodrelations/v1#Sell if businessFunction is not explicitly defined."
rating	rating	Rating	is_an_aggregate_rating	aggregate_rating	aggregate-rating	AggregateRating	AggregateRating				additionalType, alternateName, author, bestRating, description, disambiguatingDescription, identifier, image, itemReviewed, mainEntityOfPage, name, potentialAction, ratingCount, ratingExplanation, ratingValue, reviewAspect, reviewCount, sameAs, subjectOf, url, worstRating	EmployerAggregateRating			The average rating based on multiple ratings or reviews.
react-action	react_action	ReactAction	is_an_agree_action	agree_action	agree-action	AgreeAction	AgreeAction				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url				The act of expressing a consistency of opinion with the object. An agent agrees to/about an object (a proposition, topic or theme) with participants.
organization	organization	Organization	is_an_airline	airline	airline	Airline	Airline				actionableFeedbackPolicy, additionalType, address, aggregateRating, alternateName, alumni, areaServed, award, awards, boardingPolicy, brand, contactPoint, contactPoints, correctionsPolicy, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, globalLocationNumber, hasCredential, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, iataCode, identifier, image, interactionStatistic, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, legalName, leiCode, location, logo, mainEntityOfPage, makesOffer, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, ownershipFundingInfo, owns, parentOrganization, potentialAction, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, sponsor, subOrganization, subjectOf, taxID, telephone, unnamedSourcesPolicy, url, vatID				An organization that provides flights for passengers.
civic-structure	civic_structure	CivicStructure	is_an_airport	airport	airport	Airport	Airport				additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, iataCode, icaoCode, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, openingHours, openingHoursSpecification, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url				An airport.
music-album-release-type	music_album_release_type	MusicAlbumReleaseType	is_an_album_release	album_release	album-release	AlbumRelease	AlbumRelease	MusicAlbumReleaseType							AlbumRelease.
adult-oriented-enumeration	adult_oriented_enumeration	AdultOrientedEnumeration	is_an_alcohol_consideration	alcohol_consideration	alcohol-consideration	AlcoholConsideration	AlcoholConsideration	AdultOrientedEnumeration		https://pending.schema.org					Item contains alcohol or promotes alcohol consumption.
intangible	intangible	Intangible	is_an_alignment_object	alignment_object	alignment-object	AlignmentObject	AlignmentObject				additionalType, alignmentType, alternateName, description, disambiguatingDescription, educationalFramework, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, targetDescription, targetName, targetUrl, url				"An intangible item that describes an alignment between a learning resource and a node in an educational framework.<br/><br/>

Should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
drive-wheel-configuration-value	drive_wheel_configuration_value	DriveWheelConfigurationValue	is_an_all_wheel_drive_configuration	all_wheel_drive_configuration	all-wheel-drive-configuration	AllWheelDriveConfiguration	AllWheelDriveConfiguration	DriveWheelConfigurationValue							All-wheel Drive is a transmission layout where the engine drives all four wheels.
health-aspect-enumeration	health_aspect_enumeration	HealthAspectEnumeration	is_an_allergies_health_aspect	allergies_health_aspect	allergies-health-aspect	AllergiesHealthAspect	AllergiesHealthAspect	HealthAspectEnumeration		https://pending.schema.org					Content about the allergy-related aspects of a health topic.
organize-action	organize_action	OrganizeAction	is_an_allocate_action	allocate_action	allocate-action	AllocateAction	AllocateAction				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url	AcceptAction, AssignAction, AuthorizeAction, RejectAction			The act of organizing tasks/objects/events by associating resources to it.
radio-channel	radio_channel	RadioChannel	is_an_am_radio_channel	am_radio_channel	am-radio-channel	AMRadioChannel	AMRadioChannel				additionalType, alternateName, broadcastChannelId, broadcastFrequency, broadcastServiceTier, description, disambiguatingDescription, genre, identifier, image, inBroadcastLineup, mainEntityOfPage, name, potentialAction, providesBroadcastService, sameAs, subjectOf, url				A radio channel that uses AM.
creative-work	creative_work	CreativeWork, MediaObject	is_an_amp_story	amp_story	amp-story	AmpStory	AmpStory			https://pending.schema.org	about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedArticle, associatedMedia, audience, audio, author, award, awards, bitrate, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contentSize, contentUrl, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, duration, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, embedUrl, encodesCreativeWork, encoding, encodingFormat, encodings, endTime, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, height, identifier, image, inLanguage, ineligibleRegion, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pattern, playerType, position, potentialAction, producer, productionCompany, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, regionsAllowed, releasedEvent, requiresSubscription, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, sha256, size, sourceOrganization, spatial, spatialCoverage, sponsor, startTime, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, uploadDate, url, usageInfo, version, video, width, workExample, workTranslation				A creative work with a visual storytelling format intended to be viewed online, particularly on mobile devices.
entertainment-business	entertainment_business	EntertainmentBusiness	is_an_amusement_park	amusement_park	amusement-park	AmusementPark	AmusementPark				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				An amusement park.
physical-activity-category	physical_activity_category	PhysicalActivityCategory	is_an_anaerobic_activity	anaerobic_activity	anaerobic-activity	AnaerobicActivity	AnaerobicActivity	PhysicalActivityCategory							Physical activity that is of high-intensity which utilizes the anaerobic metabolism of the body.
news-article	news_article	NewsArticle	is_an_analysis_news_article	analysis_news_article	analysis-news-article	AnalysisNewsArticle	AnalysisNewsArticle			https://pending.schema.org	about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, articleBody, articleSection, assesses, associatedMedia, audience, audio, author, award, awards, backstory, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, dateline, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pageEnd, pageStart, pagination, pattern, position, potentialAction, printColumn, printEdition, printPage, printSection, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, speakable, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, wordCount, workExample, workTranslation				An AnalysisNewsArticle is a <a class="localLink" href="/NewsArticle">NewsArticle</a> that, while based on factual reporting, incorporates the expertise of the author/producer, offering interpretations and conclusions.
medical-entity	medical_entity	MedicalEntity	is_an_anatomical_structure	anatomical_structure	anatomical-structure	AnatomicalStructure	AnatomicalStructure				additionalType, alternateName, associatedPathophysiology, bodyLocation, code, connectedTo, description, diagram, disambiguatingDescription, funding, guideline, identifier, image, legalStatus, mainEntityOfPage, medicineSystem, name, partOfSystem, potentialAction, recognizingAuthority, relatedCondition, relatedTherapy, relevantSpecialty, sameAs, study, subStructure, subjectOf, url	Bone, BrainStructure, Joint, Ligament, Muscle, Nerve, Vessel			Any part of the human body, typically a component of an anatomical system. Organs, tissues, and cells are all anatomical structures.
medical-entity	medical_entity	MedicalEntity	is_an_anatomical_system	anatomical_system	anatomical-system	AnatomicalSystem	AnatomicalSystem				additionalType, alternateName, associatedPathophysiology, code, comprisedOf, description, disambiguatingDescription, funding, guideline, identifier, image, legalStatus, mainEntityOfPage, medicineSystem, name, potentialAction, recognizingAuthority, relatedCondition, relatedStructure, relatedTherapy, relevantSpecialty, sameAs, study, subjectOf, url				An anatomical system is a group of anatomical structures that work together to perform a certain task. Anatomical systems, such as organ systems, are one organizing principle of anatomy, and can include circulatory, digestive, endocrine, integumentary, immune, lymphatic, muscular, nervous, reproductive, respiratory, skeletal, urinary, vestibular, and other systems.
digital-platform-enumeration	digital_platform_enumeration	DigitalPlatformEnumeration	is_an_android_platform	android_platform	android-platform	AndroidPlatform	AndroidPlatform	DigitalPlatformEnumeration		https://pending.schema.org					Represents the broad notion of Android-based operating systems.
medical-specialty	medical_specialty	MedicalSpecialty	is_an_anesthesia	anesthesia	anesthesia	Anesthesia	Anesthesia	MedicalSpecialty							A specific branch of medical science that pertains to study of anesthetics and their application.
local-business	local_business	LocalBusiness	is_an_animal_shelter	animal_shelter	animal-shelter	AnimalShelter	AnimalShelter				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				Animal shelter.
