domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
Nerve	branch	AnatomicalStructure	branch	branch							arterialBranch	The branches that delineate from the nerve bundle. Not to be confused with <a class="localLink" href="/branchOf">branchOf</a>.
LocalBusiness	branch_of	Organization	branch-of	branchOf							parentOrganization	The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical) <a class="localLink" href="/branch">branch</a>.
Organization, Person, Product, Service	brand	Brand, Organization	brand	brand								The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
WebPage	breadcrumb	BreadcrumbList, Text	breadcrumb	breadcrumb								A set of links that can help a user understand and navigate a website hierarchy.
BroadcastService	broadcast_affiliate_of	Organization	broadcast-affiliate-of	broadcastAffiliateOf								The media network(s) whose content is broadcast on this station.
BroadcastService	broadcast_channel	BroadcastChannel	has-broadcast-channel	hasBroadcastChannel					providesBroadcastService			A broadcast channel of a broadcast service.
BroadcastChannel, BroadcastService	broadcast_frequency	BroadcastFrequencySpecification, Text	broadcast-frequency	broadcastFrequency								The frequency used for over-the-air broadcasts. Numeric values or simple ranges, e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. "87 FM".
BroadcastEvent	broadcast_of_event	Event	broadcast-of-event	broadcastOfEvent								The event being broadcast such as a sporting event or awards ceremony.
BroadcastFrequencySpecification	broadcast_signal_modulation	QualitativeValue, Text	broadcast-signal-modulation	broadcastSignalModulation	pending:							The modulation (e.g. FM, AM, etc) used by a particular broadcast service.
BroadcastService	broadcaster	Organization	broadcaster	broadcaster								The organization owning or operating the broadcast service.
Invoice, Order, Reservation, Service	broker	Organization, Person	broker	broker						bookingAgent		An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
ShippingDeliveryTime	business_days	OpeningHoursSpecification	business-days	businessDays	pending:							Days of the week when the merchant typically operates, indicated via opening hours markup.
Demand, Offer, TypeAndQuantityNode	business_function	BusinessFunction	business-function	businessFunction								The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
SellAction	buyer	Organization, Person	buyer	buyer		participant						A sub property of participant. The participant/person/organization that bought the object.
MusicAlbum, MusicRecording	by_artist	MusicGroup, Person	by-artist	byArtist								The artist that performed this album or recording.
Schedule	by_day	DayOfWeek, Text	by-day	byDay	pending:							Defines the day(s) of the week on which a recurring <a class="localLink" href="/Event">Event</a> takes place. May be specified using either <a class="localLink" href="/DayOfWeek">DayOfWeek</a>, or alternatively <a class="localLink" href="/Text">Text</a> conforming to iCal's syntax for byDay recurrence rules.
NutritionInformation	calories	Energy	calories	calories								The number of calories.
VoteAction	candidate	Person	candidate	candidate		object						A sub property of object. The candidate subject of this action.
AudioObject, ImageObject, VideoObject	caption	MediaObject, Text	caption	caption				embeddedTextCaption				The caption for this object. For downloadable machine formats (closed caption, subtitles etc.) use MediaObject and indicate the <a class="localLink" href="/encodingFormat">encodingFormat</a>.
Flight, ParcelDelivery	carrier	Organization	carrier	carrier							provider	'carrier' is an out-dated term indicating the 'provider' for parcel delivery and flights.
Dataset	catalog	DataCatalog	catalog	catalog							includedInDataCatalog	A data catalog which contains this dataset.
ActionAccessSpecification, Invoice, Offer, PhysicalActivity, Product, Recommendation, Service, SpecialAnnouncement	category	CategoryCode, PhysicalActivityCategory, Text, Thing, URL	category	category				accommodationCategory				A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
CategoryCodeSet	category_code	CategoryCode	has-category-code	hasCategoryCode	pending:	hasDefinedTerm						A Category code contained in this code set.
MedicalCause	cause_of	MedicalEntity	cause-of	causeOf								The condition, complication, symptom, sign, etc. caused.
Message	cc_recipient	ContactPoint, Organization, Person	cc-recipient	ccRecipient		recipient						A sub property of recipient. The recipient copied on a message.
CreativeWork	character	Person	character	character								Fictional person connected with a creative work.
Game, VideoGameSeries	character_attribute	Thing	character-attribute	characterAttribute								A piece of data that represents a particular aspect of a fictional character (skill, power, character points, advantage, disadvantage).
VideoGame, VideoGameSeries	cheat_code	CreativeWork	cheat-code	cheatCode								Cheat codes to the game.
ChemicalSubstance, MolecularEntity	chemical_role	DefinedTerm	chemical-role	chemicalRole	pending:							A role played by the BioChemEntity within a chemical context.
Taxon	child_taxon	Taxon, Text, URL	child-taxon	childTaxon	pending:				parentTaxon			Closest child taxa of the taxon in question.
Person	children	Person	children	children								A child of the person.
CreativeWork	citation	CreativeWork, Text	citation	citation								A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.
Claim	claim_interpreter	Organization, Person	claim-interpreter	claimInterpreter	pending:							"For a <a class=""localLink"" href=""/Claim"">Claim</a> interpreted from <a class=""localLink"" href=""/MediaObject"">MediaObject</a> content
    sed to indicate a claim contained, implied or refined from the content of a <a class=""localLink"" href=""/MediaObject"">MediaObject</a>."
OpeningHoursSpecification	closes	Time	closes	closes								The closing hour of the place or service on the given day(s) of the week.
SportsTeam	coach	Person	coach	coach								A person that acts in a coaching role for a sports team.
MedicalEntity	code	MedicalCode	code	code								A medical code for the entity, taken from a controlled vocabulary or ontology such as ICD-9, DiseasesDB, MeSH, SNOMED-CT, RxNorm, etc.
Person	colleague	Person, URL	colleague	colleague						colleagues		A colleague of the person.
Person	colleagues	Person	colleagues	colleagues							colleague	A colleague of the person.
UpdateAction	collection	Thing	collection	collection		object					targetCollection	A sub property of object. The collection target of the action.
ComicIssue, ComicStory, VisualArtwork	colorist	Person	colorist	colorist	https://bib.schema.org							The individual who adds color to inked drawings.
CreativeWork, RsvpAction	comment	Comment	comment	comment								Comments, typically from users.
EducationalOccupationalCredential, LearningResource	competency_required	DefinedTerm, Text, URL	competency-required	competencyRequired	pending:							Knowledge, skill, ability or personal attribute that must be demonstrated by a person or other entity in order to do something such as earn an Educational Occupational Credential or understand a LearningResource.
SportsEvent	competitor	Person, SportsTeam	competitor	competitor				awayTeam, homeTeam				A competitor in a sports event.
Event, MusicComposition	composer	Organization, Person	composer	composer								The person or organization who wrote a composition, or who is the composer of a work performed at some event.
AnatomicalSystem	comprised_of	AnatomicalStructure, AnatomicalSystem	comprised-of	comprisedOf								Specifying something physically contained by something else. Typically used here for the underlying anatomical structures, such as organs, that comprise the anatomical system.
AnatomicalStructure	connected_to	AnatomicalStructure	connected-to	connectedTo								Other anatomical structures to which this structure is connected.
ContactPoint	contact_option	ContactPointOption	contact-option	contactOption								An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers).
HealthInsurancePlan, Organization, Person	contact_point	ContactPoint	contact-point	contactPoint						contactPoints		A contact point for a person or organization.
Organization, Person	contact_points	ContactPoint	contact-points	contactPoints							contactPoint	A contact point for a person or organization.
RadioSeries, TVSeries, VideoGameSeries	contains_season	CreativeWorkSeason	contains-season	containsSeason		hasPart				season		A season that is part of the media series.
MedicalDevice, MedicalTherapy	contraindication	MedicalContraindication, Text	contraindication	contraindication								A contraindication for this therapy.
CreativeWork, Event	contributor	Organization, Person	contributor	contributor								A secondary contributor to the CreativeWork or Event.
CreativeWork	copyright_holder	Organization, Person	copyright-holder	copyrightHolder								The party holding the legal copyright to the CreativeWork.
CreativeWork	correction	CorrectionComment, Text, URL	correction	correction	pending:							Indicates a correction to a <a class="localLink" href="/CreativeWork">CreativeWork</a>, either via a <a class="localLink" href="/CorrectionComment">CorrectionComment</a>, textually or in another document.
NewsMediaOrganization, Organization	corrections_policy	CreativeWork, URL	corrections-policy	correctionsPolicy	pending:	publishingPrinciples						For an <a class="localLink" href="/Organization">Organization</a> (e.g. <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>), a statement describing (in news media, the newsroom�s) disclosure and correction policy for errors.
DrugCost	cost_category	DrugCostCategory	cost-category	costCategory								The category of cost, such as wholesale, retail, reimbursement cap, etc.
CreativeWork, Movie, Product, TVEpisode, TVSeason, TVSeries	country_of_origin	Country	country-of-origin	countryOfOrigin								"The country of origin of something, including products as well as creative  works such as movie and TV content.<br/><br/>

In the case of TV and movie, this would be the country of the principle offices of the production company or individual responsible for the movie. For other kinds of <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> it is difficult to provide fully general guidance, and properties such as <a class=""localLink"" href=""/contentLocation"">contentLocation</a> and <a class=""localLink"" href=""/locationCreated"">locationCreated</a> may be more applicable.<br/><br/>

In the case of products, the country of origin of the product. The exact interpretation of this may vary by context and product type, and cannot be fully enumerated here."
EducationalOccupationalProgram	course	Course	has-course	hasCourse	pending:							A course or class that is one of the learning opportunities that constitute an educational / occupational program. No information is implied about whether the course is mandatory or optional; no guarantee is implied about whether the course will be available to everyone on the program.
Course	course_instance	CourseInstance	has-course-instance	hasCourseInstance								An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.
Course	course_prerequisites	AlignmentObject, Course, Text	course-prerequisites	coursePrerequisites								Requirements for taking the Course. May be completion of another <a class="localLink" href="/Course">Course</a> or a textual description like "permission of instructor". Requirements may be a pre-requisite competency, referenced using <a class="localLink" href="/AlignmentObject">AlignmentObject</a>.
CreativeWork	creative_work_status	DefinedTerm, Text	creative-work-status	creativeWorkStatus	pending:							The status of a creative work in terms of its stage in a lifecycle. Example terms include Incomplete, Draft, Published, Obsolete. Some organizations define a set of terms for the stages of their publication lifecycle.
CreativeWork, UserComments	creator	Organization, Person	creator	creator				legislationPassedBy				The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
Organization, Person	credential	EducationalOccupationalCredential	has-credential	hasCredential	pending:							A credential awarded to the Person or Organization.
EducationalOccupationalCredential	credential_category	DefinedTerm, Text, URL	credential-category	credentialCategory	pending:							The category or type of credential being described, for example "degree�, �certificate�, �badge�, or more specific term.
MusicRelease	credited_to	Organization, Person	credited-to	creditedTo								The group the release is credited to if different than the byArtist. For example, Red and Blue is credited to "Stefani Germanotta Band", but by Lady Gaga.
SpeakableSpecification, WebPageElement	css_selector	CssSelectorType	css-selector	cssSelector								A CSS selector, e.g. of a <a class="localLink" href="/SpeakableSpecification">SpeakableSpecification</a> or <a class="localLink" href="/WebPageElement">WebPageElement</a>. In the latter case, multiple matches within a page can constitute a single conceptual "Web page element".
ExchangeRateSpecification	current_exchange_rate	UnitPriceSpecification	current-exchange-rate	currentExchangeRate	pending:							The current price of a currency.
Invoice, Order	customer	Organization, Person	customer	customer								Party placing the order or paying the invoice.
MerchantReturnPolicy	customer_remorse_return_fees	ReturnFeesEnumeration	customer-remorse-return-fees	customerRemorseReturnFees	pending:							The type of return fees if the product is returned due to customer remorse.
MerchantReturnPolicy	customer_remorse_return_label_source	ReturnLabelSourceEnumeration	customer-remorse-return-label-source	customerRemorseReturnLabelSource	pending:							The method (from an enumeration) by which the customer obtains a return shipping label for a product returned due to customer remorse.
ShippingDeliveryTime	cutoff_time	Time	cutoff-time	cutoffTime	pending:							Order cutoff time allows merchants to describe the time after which they will no longer process orders received on that day. For orders processed after cutoff time, one day gets added to the delivery time estimate. This property is expected to be most typically used via the <a class="localLink" href="/ShippingRateSettings">ShippingRateSettings</a> publication pattern. The time is indicated using the ISO-8601 Time format, e.g. "23:30:00-05:00" would represent 6:30 pm Eastern Standard Time (EST) which is 5 hours behind Coordinated Universal Time (UTC).
DataFeed	data_feed_element	DataFeedItem, Text, Thing	data-feed-element	dataFeedElement								An item within a data feed. Data feeds may have many elements.
DataCatalog	dataset	Dataset	dataset	dataset					includedInDataCatalog			A dataset contained in this catalog.
EducationalOccupationalProgram, OpeningHoursSpecification	day_of_week	DayOfWeek	day-of-week	dayOfWeek								The day of the week for which these opening hours are valid.
DefinedTermSet, Taxon	defined_term	DefinedTerm	has-defined-term	hasDefinedTerm	pending:			hasCategoryCode				A Defined Term contained in this term set.
OrderAction, ReceiveAction, SendAction, TrackAction	delivery_method	DeliveryMethod	delivery-method	deliveryMethod		instrument						A sub property of instrument. The method of delivery.
DeliveryEvent, ParcelDelivery	delivery_method	DeliveryMethod	has-delivery-method	hasDeliveryMethod								Method used for delivery or shipping.
ParcelDelivery	delivery_status	DeliveryEvent	delivery-status	deliveryStatus								New entry added as the package passes through each leg of its journey (from shipment to final delivery).
DeliveryTimeSettings, OfferShippingDetails	delivery_time	ShippingDeliveryTime	delivery-time	deliveryTime	pending:							The total delay between the receipt of the order and the goods reaching the final customer.
Organization	department	Organization	department	department								A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.
Flight	departure_airport	Airport	departure-airport	departureAirport								The airport where the flight originates.
BoatTrip	departure_boat_terminal	BoatTerminal	departure-boat-terminal	departureBoatTerminal	pending:							The terminal or port from which the boat departs.
