Year	Date	Event	Significance
1464		[Dardanelles gun](https://en.wikipedia.org/wiki/Dardanelles_gun "Dardanelles gun") constructed.	A siege cannon made by the Turkish Munir Ali, modelled after a cannon used in the [Fall of Constantinople](https://en.wikipedia.org/wiki/Fall_of_Constantinople "Fall of Constantinople")
1467–1477		[Ōnin War](https://en.wikipedia.org/wiki/%C5%8Cnin_War "Ōnin War") takes place in Japan.	First of many significant civil wars between shogunates that would continue for another century during the [Muromachi period](https://en.wikipedia.org/wiki/Muromachi_period "Muromachi period").
1469	April 15	[Guru Nanak](https://en.wikipedia.org/wiki/Guru_Nanak "Guru Nanak") is born.	Found [Sikhism](https://en.wikipedia.org/wiki/Sikhism "Sikhism") and becomes the first of the ten [Sikh Gurus](https://en.wikipedia.org/wiki/Sikh_Gurus "Sikh Gurus").
1475		The [Khanate of Crimea](https://en.wikipedia.org/wiki/Khanate_of_Crimea "Khanate of Crimea") is conquered and made a [vassal state](https://en.wikipedia.org/wiki/Vassal_state "Vassal state") by the Ottoman Empire.	[Venice](https://en.wikipedia.org/wiki/Republic_of_Venice "Republic of Venice") is defeated and the Ottoman Empire becomes master of the [Aegean Sea](https://en.wikipedia.org/wiki/Aegean_Sea "Aegean Sea").
1480		[Great Stand on the Ugra River](https://en.wikipedia.org/wiki/Great_Stand_on_the_Ugra_River "Great Stand on the Ugra River").	The end of the Tatar-Mongol yoke over the Russian principalities.
1485		[Thomas Malory](https://en.wikipedia.org/wiki/Thomas_Malory "Thomas Malory") composes _[Le Morte d'Arthur](https://en.wikipedia.org/wiki/Le_Morte_d%27Arthur "Le Morte d'Arthur")_	Perhaps the best-known work of Arthurian literature in English.
1485	August 22	[Battle of Bosworth Field](https://en.wikipedia.org/wiki/Battle_of_Bosworth_Field "Battle of Bosworth Field").	[Richard III](https://en.wikipedia.org/wiki/Richard_III_of_England "Richard III of England") dies in battle, and [Henry Tudor](https://en.wikipedia.org/wiki/Henry_VII_of_England "Henry VII of England") becomes king of England; last shift of Houses/kingship during the [War of the Roses](https://en.wikipedia.org/wiki/War_of_the_Roses "War of the Roses").
1487	June 16	[Battle of Stoke](https://en.wikipedia.org/wiki/Battle_of_Stoke "Battle of Stoke").	Marks end of the [War of the Roses](https://en.wikipedia.org/wiki/War_of_the_Roses "War of the Roses").
1492		[Reconquista](https://en.wikipedia.org/wiki/Reconquista "Reconquista") ends.	Marks end of Moorish-Muslim rule within Iberian Peninsula; [Unification of Spain](https://en.wikipedia.org/wiki/Unification_of_Spain "Unification of Spain").
1492		[Christopher Columbus](https://en.wikipedia.org/wiki/Christopher_Columbus "Christopher Columbus") reaches the [New World](https://en.wikipedia.org/wiki/New_World "New World").	[Age of Discovery](https://en.wikipedia.org/wiki/Age_of_Discovery "Age of Discovery") into the New World begins.
1494	June 10	[Spain](https://en.wikipedia.org/wiki/Spanish_Empire "Spanish Empire") and [Portugal](https://en.wikipedia.org/wiki/Portuguese_Empire "Portuguese Empire") sign the [Treaty of Tordesillas](https://en.wikipedia.org/wiki/Treaty_of_Tordesillas "Treaty of Tordesillas") and agree to divide the World outside of Europe between themselves.	Pope's ruling will lead to the division of [Brazil](https://en.wikipedia.org/wiki/Brazil "Brazil") and [Spanish America](https://en.wikipedia.org/wiki/Spanish_America "Spanish America"), as well as the formation of the [Spanish Philippines](https://en.wikipedia.org/wiki/Spanish_Philippines "Spanish Philippines") and [Portuguese colonies](https://en.wikipedia.org/wiki/Portuguese_colonies "Portuguese colonies") in India and Africa.
1494–1559		The [Italian Wars](https://en.wikipedia.org/wiki/Italian_Wars "Italian Wars").	Italian Wars will eventually lead to the downfall of the [Italian city-states](https://en.wikipedia.org/wiki/Italian_city-states "Italian city-states").
1497		[Vasco da Gama](https://en.wikipedia.org/wiki/Vasco_da_Gama "Vasco da Gama") begins his first voyage from [Europe](https://en.wikipedia.org/wiki/Europe "Europe") to [India](https://en.wikipedia.org/wiki/India "India") and back.	Vasco da Gama sailed round the [Cape of Good Hope](https://en.wikipedia.org/wiki/Cape_of_Good_Hope "Cape of Good Hope"), established the first direct sea route from Europe to India.
1499		[Ottoman fleet](https://en.wikipedia.org/wiki/Ottoman_Navy "Ottoman Navy") defeats [Venetians](https://en.wikipedia.org/wiki/Republic_of_Venice "Republic of Venice") at the [Battle of Zonchio](https://en.wikipedia.org/wiki/Battle_of_Zonchio "Battle of Zonchio").	The first naval battle that used cannons in ships.
